Session,Query ID,Gold Page ID,Gold source_turn_id,原 Production Add（仅当前 User + Assistant） | Summary + Keywords + User rank,原 Production Add（仅当前 User + Assistant） | Summary + Keywords + User score,原 Production Add（仅当前 User + Assistant） | Summary + Keywords rank,原 Production Add（仅当前 User + Assistant） | Summary + Keywords score,Production Add + 最近上文 | Summary + Keywords + User rank,Production Add + 最近上文 | Summary + Keywords + User score,Production Add + 最近上文 | Summary + Keywords rank,Production Add + 最近上文 | Summary + Keywords score,Production Add + 最近上文及下文 | Summary + Keywords + User rank,Production Add + 最近上文及下文 | Summary + Keywords + User score,Production Add + 最近上文及下文 | Summary + Keywords rank,Production Add + 最近上文及下文 | Summary + Keywords score
S003,S003-Q091,dc75d4a6-dbec-512b-bed7-4048466382c6,S003-Q084,4,0.5210726857185364,7,0.49667441844940186,9,0.5374784469604492,4,0.5401978492736816,6,0.5601208806037903,3,0.5488320589065552
S003,S003-Q091,ff75fe78-c1af-5b7a-a243-9648b6132a06,S003-Q085,8,0.5104248523712158,6,0.49849802255630493,8,0.5387060642242432,3,0.5405076742172241,16,0.544380247592926,23,0.5221955180168152
S004,S004-Q028,f642437d-2d3c-5b95-a7f6-29f2e68c0a13,S004-Q022,6,0.8024743795394897,7,0.7928401231765747,6,0.7848321795463562,4,0.7934022545814514,5,0.7984635233879089,8,0.7841389775276184
S004,S004-Q033,73b2fb55-c036-52ca-842e-cc784d317c61,S004-Q023,11,0.64728182554245,10,0.6493917107582092,4,0.6726122498512268,4,0.671021580696106,10,0.6316930651664734,5,0.6531623601913452
S004,S004-Q033,dad4c589-bd44-5d61-917f-9435b971db4d,S004-Q029,19,0.6189761161804199,13,0.6327906847000122,20,0.6143819689750671,21,0.6143819689750671,21,0.598590612411499,19,0.60422682762146
S004,S004-Q055,b229284b-6a2b-5cfb-a8c8-0ccc1bd72603,S004-Q045,49,0.46873435378074646,48,0.4561978578567505,28,0.5407252311706543,29,0.5292645692825317,32,0.5234483480453491,25,0.5234483480453491
S004,S004-Q055,90248870-b2cb-59d2-a707-79d09f366d8a,S004-Q051,43,0.48429518938064575,46,0.4706211984157562,4,0.6051599979400635,6,0.5881443619728088,27,0.5338477492332458,33,0.5125783085823059
S004,S004-Q066,52990abe-a81c-5937-b506-8a88315cc3c0,S004-Q056,12,0.39092910289764404,20,0.36268433928489685,6,0.468855082988739,5,0.458721786737442,20,0.42474165558815,15,0.42474165558815
S004,S004-Q066,57ef23a9-5ba4-568c-9cc1-4c5e9a47ec7a,S004-Q062,42,0.33652135729789734,49,0.3051750361919403,10,0.4467557370662689,10,0.43217581510543823,16,0.43446749448776245,22,0.41263967752456665
S005,S005-Q042,19b9c9f1-754d-5322-831d-a2b5bbc632f9,S005-Q036,3,0.6224581599235535,1,0.6224581599235535,25,0.534143328666687,25,0.534143328666687,17,0.5557105541229248,18,0.5557105541229248
S005,S005-Q052,009ec1d2-83f6-5755-bd7a-e5a92eda1890,S005-Q040,5,0.5705037713050842,9,0.5434805750846863,2,0.62593674659729,3,0.6041401624679565,2,0.6313807368278503,1,0.6313807368278503
S005,S005-Q052,c50cce28-4618-514d-bc83-20a57b6f5562,S005-Q045,29,0.5134086608886719,30,0.5024569630622864,42,0.48668235540390015,41,0.48668235540390015,30,0.5303848385810852,26,0.5303848385810852
S005,S005-Q055,c50cce28-4618-514d-bc83-20a57b6f5562,S005-Q045,14,0.4958503842353821,12,0.48456481099128723,45,0.44198620319366455,43,0.44198620319366455,23,0.5050852298736572,24,0.5050852298736572
S005,S005-Q055,cc845b3c-bd6e-511e-8bf1-44f5e08cf54a,S005-Q051,3,0.5418193936347961,7,0.5031842589378357,4,0.5435043573379517,7,0.5228681564331055,3,0.5720807909965515,7,0.5447832942008972
