requirement_id,session_id,query_id,gold_members,is_or,old_20way_rank,batch5_rank,rank_change,transition
S002-Q026::E1,S002,S002-Q026,"[""S002-Q014""]",False,8,3,5,PROMOTED
S002-Q026::E2,S002,S002-Q026,"[""S002-Q019""]",False,10,5,5,PROMOTED
S002-Q028::E1,S002,S002-Q028,"[""S002-Q022""]",False,2,2,0,UNCHANGED
S002-Q033::E1,S002,S002-Q033,"[""S002-Q023""]",False,2,2,0,UNCHANGED
S002-Q033::E2,S002,S002-Q033,"[""S002-Q029""]",False,11,16,-5,UNCHANGED
S002-Q035::E1,S002,S002-Q035,"[""S002-Q029""]",False,11,9,2,UNCHANGED
S002-Q039::E1,S002,S002-Q039,"[""S002-Q027""]",False,20,20,0,UNCHANGED
S002-Q039::E2,S002,S002-Q039,"[""S002-Q032""]",False,14,16,-2,UNCHANGED
S002-Q044::E1,S002,S002-Q044,"[""S002-Q040""]",False,4,4,0,UNCHANGED
S002-Q049::E1,S002,S002-Q049,"[""S002-Q043""]",False,11,13,-2,UNCHANGED
S002-Q052::E1,S002,S002-Q052,"[""S002-Q040""]",False,1,1,0,UNCHANGED
S002-Q052::E2,S002,S002-Q052,"[""S002-Q045""]",False,15,11,4,UNCHANGED
S002-Q055::E1,S002,S002-Q055,"[""S002-Q045""]",False,11,1,10,PROMOTED
S002-Q055::E2,S002,S002-Q055,"[""S002-Q051""]",False,2,10,-8,DEMOTED
S002-Q056::E1,S002,S002-Q056,"[""S002-Q050""]",False,36,36,0,UNCHANGED
S002-Q063::E1,S002,S002-Q063,"[""S002-Q057""]",False,11,10,1,UNCHANGED
S002-Q065::E1,S002,S002-Q065,"[""S002-Q053""]",False,1,1,0,UNCHANGED
S002-Q065::E2,S002,S002-Q065,"[""S002-Q058""]",False,6,6,0,UNCHANGED
S002-Q066::E1,S002,S002-Q066,"[""S002-Q056""]",False,1,1,0,UNCHANGED
S002-Q066::E2,S002,S002-Q066,"[""S002-Q062""]",False,11,12,-1,UNCHANGED
S002-Q070::E1,S002,S002-Q070,"[""S002-Q064""]",False,11,9,2,UNCHANGED
S003-Q007::E1,S003,S003-Q007,"[""S003-Q001""]",False,2,2,0,UNCHANGED
S003-Q011::E1,S003,S003-Q011,"[""S003-Q001""]",False,4,6,-2,DEMOTED
S003-Q011::E2,S003,S003-Q011,"[""S003-Q007""]",False,2,4,-2,UNCHANGED
S003-Q013::E1,S003,S003-Q013,"[""S003-Q001""]",False,6,2,4,PROMOTED
S003-Q013::E2,S003,S003-Q013,"[""S003-Q006""]",False,5,8,-3,DEMOTED
S003-Q014::E1,S003,S003-Q014,"[""S003-Q008""]",False,1,6,-5,DEMOTED
S003-Q021::E1,S003,S003-Q021,"[""S003-Q015""]",False,7,4,3,PROMOTED
S003-Q022::E1,S003,S003-Q022,"[""S003-Q012""]",False,1,1,0,UNCHANGED
S003-Q022::E2,S003,S003-Q022,"[""S003-Q018""]",False,3,7,-4,DEMOTED
S003-Q026::E1,S003,S003-Q026,"[""S003-Q014""]",False,15,12,3,UNCHANGED
S003-Q026::E2,S003,S003-Q026,"[""S003-Q019""]",False,7,18,-11,UNCHANGED
S003-Q028::E1,S003,S003-Q028,"[""S003-Q022""]",False,10,17,-7,UNCHANGED
S003-Q033::E1,S003,S003-Q033,"[""S003-Q023""]",False,12,12,0,UNCHANGED
S003-Q033::E2,S003,S003-Q033,"[""S003-Q029""]",False,21,21,0,UNCHANGED
S003-Q035::E1,S003,S003-Q035,"[""S003-Q029""]",False,15,17,-2,UNCHANGED
S003-Q039::E1,S003,S003-Q039,"[""S003-Q027""]",False,19,18,1,UNCHANGED
S003-Q039::E2,S003,S003-Q039,"[""S003-Q032""]",False,29,29,0,UNCHANGED
S003-Q042::E1,S003,S003-Q042,"[""S003-Q036""]",False,7,6,1,UNCHANGED
S003-Q044::E1,S003,S003-Q044,"[""S003-Q034""]",False,33,33,0,UNCHANGED
S003-Q044::E2,S003,S003-Q044,"[""S003-Q040""]",False,15,16,-1,UNCHANGED
S003-Q049::E1,S003,S003-Q049,"[""S003-Q043""]",False,22,22,0,UNCHANGED
S003-Q052::E1,S003,S003-Q052,"[""S003-Q040""]",False,10,15,-5,UNCHANGED
S003-Q052::E2,S003,S003-Q052,"[""S003-Q045""]",False,15,13,2,UNCHANGED
S003-Q055::E1,S003,S003-Q055,"[""S003-Q045""]",False,41,41,0,UNCHANGED
S003-Q055::E2,S003,S003-Q055,"[""S003-Q051""]",False,11,3,8,PROMOTED
S003-Q056::E1,S003,S003-Q056,"[""S003-Q050""]",False,3,8,-5,DEMOTED
S003-Q063::E1,S003,S003-Q063,"[""S003-Q057""]",False,11,10,1,UNCHANGED
S003-Q065::E1,S003,S003-Q065,"[""S003-Q053""]",False,18,14,4,UNCHANGED
S003-Q065::E2,S003,S003-Q065,"[""S003-Q058""]",False,14,8,6,UNCHANGED
S003-Q066::E1,S003,S003-Q066,"[""S003-Q056""]",False,2,2,0,UNCHANGED
S003-Q066::E2,S003,S003-Q066,"[""S003-Q062""]",False,9,15,-6,UNCHANGED
S003-Q070::E1,S003,S003-Q070,"[""S003-Q064""]",False,4,4,0,UNCHANGED
S003-Q077::E1,S003,S003-Q077,"[""S003-Q071""]",False,54,54,0,UNCHANGED
S003-Q077::E2,S003,S003-Q077,"[""S003-Q073""]",False,24,24,0,UNCHANGED
S003-Q078::E1,S003,S003-Q078,"[""S003-Q066""]",False,6,17,-11,UNCHANGED
S003-Q078::E2,S003,S003-Q078,"[""S003-Q071""]",False,47,47,0,UNCHANGED
S003-Q084::E1,S003,S003-Q084,"[""S003-Q078""]",False,30,30,0,UNCHANGED
S003-Q088::E1,S003,S003-Q088,"[""S003-Q078""]",False,19,18,1,UNCHANGED
S003-Q088::E2,S003,S003-Q088,"[""S003-Q084""]",False,48,48,0,UNCHANGED
S003-Q091::E1,S003,S003-Q091,"[""S003-Q079""]",False,22,22,0,UNCHANGED
S003-Q091::E2,S003,S003-Q091,"[""S003-Q084""]",False,7,11,-4,UNCHANGED
S003-Q091::E3,S003,S003-Q091,"[""S003-Q085""]",False,23,23,0,UNCHANGED
S004-Q007::E1,S004,S004-Q007,"[""S004-Q001""]",False,3,3,0,UNCHANGED
S004-Q011::E1,S004,S004-Q011,"[""S004-Q001""]",False,7,3,4,PROMOTED
S004-Q011::E2,S004,S004-Q011,"[""S004-Q007""]",False,1,1,0,UNCHANGED
S004-Q013::E1,S004,S004-Q013,"[""S004-Q001""]",False,6,3,3,PROMOTED
S004-Q013::E2,S004,S004-Q013,"[""S004-Q006""]",False,9,9,0,UNCHANGED
S004-Q014::E1,S004,S004-Q014,"[""S004-Q008""]",False,3,5,-2,UNCHANGED
S004-Q021::E1,S004,S004-Q021,"[""S004-Q015""]",False,8,12,-4,UNCHANGED
S004-Q022::E1,S004,S004-Q022,"[""S004-Q012""]",False,1,2,-1,UNCHANGED
S004-Q022::E2,S004,S004-Q022,"[""S004-Q018""]",False,4,9,-5,DEMOTED
S004-Q026::E1,S004,S004-Q026,"[""S004-Q014""]",False,19,10,9,UNCHANGED
S004-Q026::E2,S004,S004-Q026,"[""S004-Q019""]",False,18,18,0,UNCHANGED
S004-Q028::E1,S004,S004-Q028,"[""S004-Q022""]",False,15,17,-2,UNCHANGED
S004-Q033::E1,S004,S004-Q033,"[""S004-Q023""]",False,19,20,-1,UNCHANGED
S004-Q033::E2,S004,S004-Q033,"[""S004-Q029""]",False,18,12,6,UNCHANGED
S004-Q035::E1,S004,S004-Q035,"[""S004-Q029""]",False,3,14,-11,DEMOTED
S004-Q039::E1,S004,S004-Q039,"[""S004-Q027""]",False,4,13,-9,DEMOTED
S004-Q039::E2,S004,S004-Q039,"[""S004-Q032""]",False,21,21,0,UNCHANGED
S004-Q042::E1,S004,S004-Q042,"[""S004-Q036""]",False,8,4,4,PROMOTED
S004-Q044::E1,S004,S004-Q044,"[""S004-Q034""]",False,40,40,0,UNCHANGED
S004-Q044::E2,S004,S004-Q044,"[""S004-Q040""]",False,28,28,0,UNCHANGED
S004-Q049::E1,S004,S004-Q049,"[""S004-Q043""]",False,22,22,0,UNCHANGED
S004-Q052::E1,S004,S004-Q052,"[""S004-Q040""]",False,36,36,0,UNCHANGED
S004-Q052::E2,S004,S004-Q052,"[""S004-Q045""]",False,8,7,1,UNCHANGED
S004-Q055::E1,S004,S004-Q055,"[""S004-Q045""]",False,25,25,0,UNCHANGED
S004-Q055::E2,S004,S004-Q055,"[""S004-Q051""]",False,33,33,0,UNCHANGED
S004-Q056::E1,S004,S004-Q056,"[""S004-Q050""]",False,3,14,-11,DEMOTED
S004-Q063::E1,S004,S004-Q063,"[""S004-Q057""]",False,26,26,0,UNCHANGED
S004-Q065::E1,S004,S004-Q065,"[""S004-Q053""]",False,5,12,-7,DEMOTED
S004-Q065::E2,S004,S004-Q065,"[""S004-Q058""]",False,9,8,1,UNCHANGED
S004-Q066::E1,S004,S004-Q066,"[""S004-Q056""]",False,15,9,6,UNCHANGED
S004-Q066::E2,S004,S004-Q066,"[""S004-Q062""]",False,22,22,0,UNCHANGED
S004-Q070::E1,S004,S004-Q070,"[""S004-Q064""]",False,16,13,3,UNCHANGED
S005-Q007::E1,S005,S005-Q007,"[""S005-Q001""]",False,2,2,0,UNCHANGED
S005-Q011::E1,S005,S005-Q011,"[""S005-Q001""]",False,7,7,0,UNCHANGED
S005-Q011::E2,S005,S005-Q011,"[""S005-Q007""]",False,2,2,0,UNCHANGED
S005-Q013::E1,S005,S005-Q013,"[""S005-Q001""]",False,9,5,4,PROMOTED
S005-Q013::E2,S005,S005-Q013,"[""S005-Q006""]",False,1,1,0,UNCHANGED
S005-Q014::E1,S005,S005-Q014,"[""S005-Q008""]",False,4,4,0,UNCHANGED
S005-Q021::E1,S005,S005-Q021,"[""S005-Q015""]",False,13,4,9,PROMOTED
S005-Q022::E1,S005,S005-Q022,"[""S005-Q012""]",False,6,8,-2,UNCHANGED
S005-Q022::E2,S005,S005-Q022,"[""S005-Q018""]",False,18,11,7,UNCHANGED
S005-Q026::E1,S005,S005-Q026,"[""S005-Q014""]",False,17,17,0,UNCHANGED
S005-Q026::E2,S005,S005-Q026,"[""S005-Q019""]",False,20,15,5,UNCHANGED
S005-Q028::E1,S005,S005-Q028,"[""S005-Q022""]",False,12,12,0,UNCHANGED
S005-Q033::E1,S005,S005-Q033,"[""S005-Q023""]",False,1,1,0,UNCHANGED
S005-Q033::E2,S005,S005-Q033,"[""S005-Q029""]",False,2,2,0,UNCHANGED
S005-Q035::E1,S005,S005-Q035,"[""S005-Q029""]",False,7,20,-13,UNCHANGED
S005-Q039::E1,S005,S005-Q039,"[""S005-Q027""]",False,21,21,0,UNCHANGED
S005-Q039::E2,S005,S005-Q039,"[""S005-Q032""]",False,15,13,2,UNCHANGED
S005-Q044::E1,S005,S005-Q044,"[""S005-Q040""]",False,2,4,-2,UNCHANGED
S005-Q049::E1,S005,S005-Q049,"[""S005-Q043""]",False,2,2,0,UNCHANGED
S005-Q052::E1,S005,S005-Q052,"[""S005-Q040""]",False,1,1,0,UNCHANGED
S005-Q052::E2,S005,S005-Q052,"[""S005-Q045""]",False,26,26,0,UNCHANGED
S005-Q055::E1,S005,S005-Q055,"[""S005-Q045""]",False,24,24,0,UNCHANGED
S005-Q055::E2,S005,S005-Q055,"[""S005-Q051""]",False,6,3,3,PROMOTED
S005-Q056::E1,S005,S005-Q056,"[""S005-Q050""]",False,17,12,5,UNCHANGED
