query_id,batch_index,candidate_count,unique_score_count,all_candidates_tied,scores,candidate_page_ids,cache_hit_this_run,prompt_tokens,completion_tokens
S001-Q021,4,2,2,False,"[90.0, 70.0]","[""e7eefead-7365-5540-b914-0d6077a14d8c"", ""dea63c61-1950-5f6a-bdd9-1323f83f3b37""]",True,1122,94
S001-Q022,1,5,3,False,"[100.0, 80.0, 70.0, 70.0, 70.0]","[""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"", ""289ba3d6-8b24-5c77-8df9-7af211ee1007"", ""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"", ""ed0c9ffd-4cf7-5f79-aaea-898b8f2899f0"", ""1de06218-dc21-5ec3-9e23-c5d58a375fd9""]",True,2569,220
S001-Q022,2,5,1,True,"[100.0, 100.0, 100.0, 100.0, 100.0]","[""71a788a3-0077-5908-a7f4-d02349fd6e1c"", ""8322bc48-f2e3-5603-ae53-97917cf35a39"", ""2ec87be4-468b-5498-889b-13f43f4ee222"", ""70d0daf9-01a8-5e0f-9341-e20464515e43"", ""f1228bac-12d1-520f-9787-52a8cdcd49db""]",True,2616,216
S001-Q022,3,5,1,True,"[100.0, 100.0, 100.0, 100.0, 100.0]","[""55e7e466-3b1c-5014-85fc-2a14618ce254"", ""7c06f308-8022-5f54-a63c-ab30458f4115"", ""34fa3574-894f-575c-b9b0-0a183473746e"", ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"", ""2631e802-75be-5089-9418-baece6a717cf""]",True,2323,211
S001-Q022,4,3,3,False,"[90.0, 85.0, 80.0]","[""dfaf0dfd-1943-54e1-99a3-0690c5a9cb38"", ""e7eefead-7365-5540-b914-0d6077a14d8c"", ""dea63c61-1950-5f6a-bdd9-1323f83f3b37""]",True,1561,138
S001-Q026,1,5,5,False,"[90.0, 85.0, 70.0, 80.0, 95.0]","[""7c06f308-8022-5f54-a63c-ab30458f4115"", ""28a3b6de-dd4b-5bf8-919e-169ce12b1349"", ""289ba3d6-8b24-5c77-8df9-7af211ee1007"", ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"", ""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a""]",True,2503,216
S001-Q026,2,5,1,True,"[100.0, 100.0, 100.0, 100.0, 100.0]","[""44777fdf-abd5-5570-b0aa-8e3f1cb44000"", ""2ec87be4-468b-5498-889b-13f43f4ee222"", ""ed0c9ffd-4cf7-5f79-aaea-898b8f2899f0"", ""55e7e466-3b1c-5014-85fc-2a14618ce254"", ""f1228bac-12d1-520f-9787-52a8cdcd49db""]",True,2603,218
S001-Q026,3,5,5,False,"[90.0, 85.0, 80.0, 75.0, 70.0]","[""34fa3574-894f-575c-b9b0-0a183473746e"", ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"", ""71a788a3-0077-5908-a7f4-d02349fd6e1c"", ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"", ""77cecfad-195f-539e-b105-acf49d23a9c6""]",True,2673,216
S001-Q026,4,5,1,True,"[100.0, 100.0, 100.0, 100.0, 100.0]","[""1de06218-dc21-5ec3-9e23-c5d58a375fd9"", ""8322bc48-f2e3-5603-ae53-97917cf35a39"", ""dfaf0dfd-1943-54e1-99a3-0690c5a9cb38"", ""70d0daf9-01a8-5e0f-9341-e20464515e43"", ""2631e802-75be-5089-9418-baece6a717cf""]",True,2453,217
S001-Q028,1,5,5,False,"[90.0, 85.0, 80.0, 75.0, 70.0]","[""d5c03971-3795-5256-a75f-b3921d61a92d"", ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"", ""44777fdf-abd5-5570-b0aa-8e3f1cb44000"", ""28a3b6de-dd4b-5bf8-919e-169ce12b1349"", ""204ccd02-0a09-5bee-9d12-d6469c1688e8""]",True,2592,216
S001-Q028,2,5,5,False,"[90.0, 85.0, 80.0, 75.0, 70.0]","[""55e7e466-3b1c-5014-85fc-2a14618ce254"", ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"", ""289ba3d6-8b24-5c77-8df9-7af211ee1007"", ""71a788a3-0077-5908-a7f4-d02349fd6e1c"", ""2ec87be4-468b-5498-889b-13f43f4ee222""]",True,2678,221
S001-Q028,3,5,1,True,"[100.0, 100.0, 100.0, 100.0, 100.0]","[""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"", ""dfaf0dfd-1943-54e1-99a3-0690c5a9cb38"", ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"", ""ed0c9ffd-4cf7-5f79-aaea-898b8f2899f0"", ""34fa3574-894f-575c-b9b0-0a183473746e""]",True,2558,219
S001-Q028,4,5,1,True,"[100.0, 100.0, 100.0, 100.0, 100.0]","[""f1228bac-12d1-520f-9787-52a8cdcd49db"", ""1de06218-dc21-5ec3-9e23-c5d58a375fd9"", ""70d0daf9-01a8-5e0f-9341-e20464515e43"", ""77cecfad-195f-539e-b105-acf49d23a9c6"", ""7c06f308-8022-5f54-a63c-ab30458f4115""]",True,2452,215
S001-Q033,1,5,1,True,"[100.0, 100.0, 100.0, 100.0, 100.0]","[""7c06f308-8022-5f54-a63c-ab30458f4115"", ""d5c03971-3795-5256-a75f-b3921d61a92d"", ""289ba3d6-8b24-5c77-8df9-7af211ee1007"", ""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"", ""f1228bac-12d1-520f-9787-52a8cdcd49db""]",True,2515,219
S001-Q033,2,5,1,True,"[100.0, 100.0, 100.0, 100.0, 100.0]","[""fb76b32a-859d-5228-b170-550c026c1646"", ""55e7e466-3b1c-5014-85fc-2a14618ce254"", ""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"", ""204ccd02-0a09-5bee-9d12-d6469c1688e8"", ""34fa3574-894f-575c-b9b0-0a183473746e""]",True,2579,213
S001-Q033,3,5,1,True,"[100.0, 100.0, 100.0, 100.0, 100.0]","[""2ec87be4-468b-5498-889b-13f43f4ee222"", ""812b1a36-c36b-58cb-882e-3759ed7c7c58"", ""ed0c9ffd-4cf7-5f79-aaea-898b8f2899f0"", ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"", ""28a3b6de-dd4b-5bf8-919e-169ce12b1349""]",True,2604,219
S001-Q033,4,5,1,True,"[0.0, 0.0, 0.0, 0.0, 0.0]","[""9b4b60a1-f0f9-5368-b4ce-b441752321bb"", ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"", ""dfaf0dfd-1943-54e1-99a3-0690c5a9cb38"", ""1de06218-dc21-5ec3-9e23-c5d58a375fd9"", ""71a788a3-0077-5908-a7f4-d02349fd6e1c""]",True,2649,222
S001-Q035,1,5,5,False,"[90.0, 85.0, 80.0, 75.0, 95.0]","[""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"", ""6f47beb6-9be8-5a58-be8b-a77a9bbffd9a"", ""d5c03971-3795-5256-a75f-b3921d61a92d"", ""fb76b32a-859d-5228-b170-550c026c1646"", ""812b1a36-c36b-58cb-882e-3759ed7c7c58""]",True,2615,221
S001-Q035,2,5,1,True,"[100.0, 100.0, 100.0, 100.0, 100.0]","[""7c06f308-8022-5f54-a63c-ab30458f4115"", ""28a3b6de-dd4b-5bf8-919e-169ce12b1349"", ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"", ""289ba3d6-8b24-5c77-8df9-7af211ee1007"", ""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a""]",True,2488,216
S001-Q035,3,5,1,True,"[0.0, 0.0, 0.0, 0.0, 0.0]","[""204ccd02-0a09-5bee-9d12-d6469c1688e8"", ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"", ""f1228bac-12d1-520f-9787-52a8cdcd49db"", ""33eb4d66-a4c5-5429-b3bd-48948bb5d443"", ""71a788a3-0077-5908-a7f4-d02349fd6e1c""]",True,2698,219
S001-Q035,4,5,5,False,"[90.0, 85.0, 88.0, 82.0, 80.0]","[""3b7f143a-e38f-5d11-9219-ef3c808f775a"", ""2ec87be4-468b-5498-889b-13f43f4ee222"", ""ed0c9ffd-4cf7-5f79-aaea-898b8f2899f0"", ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"", ""55e7e466-3b1c-5014-85fc-2a14618ce254""]",True,2570,220
S001-Q039,1,5,5,False,"[90.0, 85.0, 80.0, 75.0, 70.0]","[""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"", ""adb63a6d-b7bd-5396-8e59-1cb9403d2c73"", ""05b70e73-30bc-59f9-98c1-7b8ae315ffd0"", ""fb76b32a-859d-5228-b170-550c026c1646"", ""6f47beb6-9be8-5a58-be8b-a77a9bbffd9a""]",True,2472,225
S001-Q039,2,5,5,False,"[90.0, 85.0, 80.0, 75.0, 70.0]","[""32b5d492-2df9-5ed9-ac46-caca5c87097c"", ""ed0c9ffd-4cf7-5f79-aaea-898b8f2899f0"", ""28a3b6de-dd4b-5bf8-919e-169ce12b1349"", ""3b7f143a-e38f-5d11-9219-ef3c808f775a"", ""d5c03971-3795-5256-a75f-b3921d61a92d""]",True,2518,220
S001-Q039,3,5,5,False,"[90.0, 85.0, 80.0, 75.0, 95.0]","[""812b1a36-c36b-58cb-882e-3759ed7c7c58"", ""289ba3d6-8b24-5c77-8df9-7af211ee1007"", ""c107828c-a741-55f6-8e0c-446cfbdba215"", ""55e7e466-3b1c-5014-85fc-2a14618ce254"", ""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a""]",True,2535,217
S001-Q039,4,5,1,True,"[100.0, 100.0, 100.0, 100.0, 100.0]","[""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"", ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"", ""1de06218-dc21-5ec3-9e23-c5d58a375fd9"", ""44777fdf-abd5-5570-b0aa-8e3f1cb44000"", ""7c06f308-8022-5f54-a63c-ab30458f4115""]",True,2461,217
S001-Q042,1,5,1,True,"[100.0, 100.0, 100.0, 100.0, 100.0]","[""05b70e73-30bc-59f9-98c1-7b8ae315ffd0"", ""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"", ""6f47beb6-9be8-5a58-be8b-a77a9bbffd9a"", ""fb76b32a-859d-5228-b170-550c026c1646"", ""adb63a6d-b7bd-5396-8e59-1cb9403d2c73""]",True,2475,225
S001-Q042,2,5,5,False,"[90.0, 85.0, 80.0, 75.0, 70.0]","[""ec485c25-9d3b-5229-9578-6632bd7bacad"", ""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc"", ""44777fdf-abd5-5570-b0aa-8e3f1cb44000"", ""c107828c-a741-55f6-8e0c-446cfbdba215"", ""d5c03971-3795-5256-a75f-b3921d61a92d""]",True,2303,218
S001-Q042,3,5,5,False,"[90.0, 85.0, 80.0, 75.0, 70.0]","[""71a788a3-0077-5908-a7f4-d02349fd6e1c"", ""32b5d492-2df9-5ed9-ac46-caca5c87097c"", ""7c06f308-8022-5f54-a63c-ab30458f4115"", ""33eb4d66-a4c5-5429-b3bd-48948bb5d443"", ""812b1a36-c36b-58cb-882e-3759ed7c7c58""]",True,2485,215
S001-Q042,4,5,5,False,"[90.0, 85.0, 95.0, 80.0, 75.0]","[""3b7f143a-e38f-5d11-9219-ef3c808f775a"", ""289ba3d6-8b24-5c77-8df9-7af211ee1007"", ""dea63c61-1950-5f6a-bdd9-1323f83f3b37"", ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"", ""5fcaa70b-2b7a-509b-bb78-82c6345a84eb""]",True,2403,223
S001-Q044,1,5,1,True,"[100.0, 100.0, 100.0, 100.0, 100.0]","[""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"", ""ec485c25-9d3b-5229-9578-6632bd7bacad"", ""05b70e73-30bc-59f9-98c1-7b8ae315ffd0"", ""32b5d492-2df9-5ed9-ac46-caca5c87097c"", ""6f47beb6-9be8-5a58-be8b-a77a9bbffd9a""]",True,2307,225
S001-Q044,2,5,1,True,"[100.0, 100.0, 100.0, 100.0, 100.0]","[""4054aab2-0aa7-5019-b341-077265511add"", ""fb76b32a-859d-5228-b170-550c026c1646"", ""e2db6251-93c2-54d2-b811-75ba0665e53c"", ""812b1a36-c36b-58cb-882e-3759ed7c7c58"", ""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc""]",True,2397,216
S001-Q044,3,5,1,True,"[100.0, 100.0, 100.0, 100.0, 100.0]","[""44777fdf-abd5-5570-b0aa-8e3f1cb44000"", ""55e7e466-3b1c-5014-85fc-2a14618ce254"", ""adb63a6d-b7bd-5396-8e59-1cb9403d2c73"", ""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"", ""2ec87be4-468b-5498-889b-13f43f4ee222""]",True,2582,217
S001-Q044,4,5,1,True,"[0.0, 0.0, 0.0, 0.0, 0.0]","[""d5c03971-3795-5256-a75f-b3921d61a92d"", ""289ba3d6-8b24-5c77-8df9-7af211ee1007"", ""5fcaa70b-2b7a-509b-bb78-82c6345a84eb"", ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"", ""33eb4d66-a4c5-5429-b3bd-48948bb5d443""]",True,2536,222
S001-Q049,1,5,5,False,"[95.0, 80.0, 70.0, 85.0, 75.0]","[""e2db6251-93c2-54d2-b811-75ba0665e53c"", ""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"", ""d5c03971-3795-5256-a75f-b3921d61a92d"", ""4054aab2-0aa7-5019-b341-077265511add"", ""6f47beb6-9be8-5a58-be8b-a77a9bbffd9a""]",True,2555,220
S001-Q049,2,5,5,False,"[90.0, 85.0, 80.0, 70.0, 65.0]","[""adb63a6d-b7bd-5396-8e59-1cb9403d2c73"", ""fb76b32a-859d-5228-b170-550c026c1646"", ""7c06f308-8022-5f54-a63c-ab30458f4115"", ""5fcaa70b-2b7a-509b-bb78-82c6345a84eb"", ""05b70e73-30bc-59f9-98c1-7b8ae315ffd0""]",True,2268,219
S001-Q049,3,5,5,False,"[30.0, 85.0, 25.0, 90.0, 95.0]","[""de592e81-e050-536b-8909-32866c85f6c2"", ""289ba3d6-8b24-5c77-8df9-7af211ee1007"", ""7b17127a-2e14-5b97-afa8-efd13a4368fd"", ""dc5bd854-533a-501d-bb9c-f3d1b7c06fde"", ""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc""]",True,2348,224
S001-Q049,4,5,5,False,"[90.0, 85.0, 60.0, 70.0, 95.0]","[""989a0de5-bebd-56a4-97a0-84ff3f9ae051"", ""dd3a6ec2-247a-56ab-b2c6-395632758f90"", ""c107828c-a741-55f6-8e0c-446cfbdba215"", ""28a3b6de-dd4b-5bf8-919e-169ce12b1349"", ""ec485c25-9d3b-5229-9578-6632bd7bacad""]",True,2222,216
S002-Q007,1,3,1,True,"[100.0, 100.0, 100.0]","[""ceb187fe-1602-54a0-9ed7-224c7816f53e"", ""5d1eccd0-c642-585e-9c32-5450ef208a4b"", ""f70d87dd-c4b9-59de-a761-869308b1818b""]",True,1425,134
S002-Q011,1,5,1,True,"[100.0, 100.0, 100.0, 100.0, 100.0]","[""ceb187fe-1602-54a0-9ed7-224c7816f53e"", ""37f703bf-173c-56df-b339-f52774261c6e"", ""4061a539-8cec-524a-9a35-60f71e908abb"", ""a6c0000c-f234-59a1-b6e5-1283680d9b77"", ""03c3981b-3b09-56ca-a545-043c8ff0d240""]",True,2232,214
S002-Q011,2,2,1,True,"[90.0, 90.0]","[""5d1eccd0-c642-585e-9c32-5450ef208a4b"", ""f70d87dd-c4b9-59de-a761-869308b1818b""]",True,1014,92
S002-Q013,1,5,5,False,"[90.0, 85.0, 80.0, 75.0, 70.0]","[""ffe3f8c5-2f7a-5645-ac8f-b41d05a11638"", ""ceb187fe-1602-54a0-9ed7-224c7816f53e"", ""4061a539-8cec-524a-9a35-60f71e908abb"", ""37d568b0-90c6-5481-b7d9-e0101fd95e52"", ""a6c0000c-f234-59a1-b6e5-1283680d9b77""]",True,2243,220
S002-Q013,2,4,4,False,"[90.0, 85.0, 80.0, 75.0]","[""5d1eccd0-c642-585e-9c32-5450ef208a4b"", ""37f703bf-173c-56df-b339-f52774261c6e"", ""03c3981b-3b09-56ca-a545-043c8ff0d240"", ""f70d87dd-c4b9-59de-a761-869308b1818b""]",True,1773,171
S002-Q014,1,5,5,False,"[90.0, 85.0, 80.0, 75.0, 70.0]","[""4061a539-8cec-524a-9a35-60f71e908abb"", ""ceb187fe-1602-54a0-9ed7-224c7816f53e"", ""f70d87dd-c4b9-59de-a761-869308b1818b"", ""5d1eccd0-c642-585e-9c32-5450ef208a4b"", ""03c3981b-3b09-56ca-a545-043c8ff0d240""]",True,2204,216
S002-Q014,2,5,1,True,"[100.0, 100.0, 100.0, 100.0, 100.0]","[""37d568b0-90c6-5481-b7d9-e0101fd95e52"", ""ffe3f8c5-2f7a-5645-ac8f-b41d05a11638"", ""37f703bf-173c-56df-b339-f52774261c6e"", ""6b4b9646-98e5-5584-bb4f-cc3b2b4e51d0"", ""a6c0000c-f234-59a1-b6e5-1283680d9b77""]",True,2222,222
S002-Q021,1,5,5,False,"[100.0, 60.0, 80.0, 70.0, 75.0]","[""5d1eccd0-c642-585e-9c32-5450ef208a4b"", ""ffe3f8c5-2f7a-5645-ac8f-b41d05a11638"", ""0c762a14-8087-5bb0-a22d-c86667c2dabe"", ""a6c0000c-f234-59a1-b6e5-1283680d9b77"", ""8abb5364-9164-5a46-826a-a0fde69d88a8""]",True,2245,221
S002-Q021,2,5,5,False,"[90.0, 85.0, 95.0, 70.0, 75.0]","[""37f703bf-173c-56df-b339-f52774261c6e"", ""4d8b4bb3-4a1f-538c-af07-cc0ce19ea796"", ""f70d87dd-c4b9-59de-a761-869308b1818b"", ""37d568b0-90c6-5481-b7d9-e0101fd95e52"", ""1489a6a2-1be1-5d95-99ec-ac3f42b06c35""]",True,2225,217
S002-Q021,3,5,1,True,"[100.0, 100.0, 100.0, 100.0, 100.0]","[""ceb187fe-1602-54a0-9ed7-224c7816f53e"", ""00ce1b35-d357-53e0-a42e-a8f97d4a07f0"", ""03c3981b-3b09-56ca-a545-043c8ff0d240"", ""6e877c55-d5b4-5992-9e95-5c482212a7c9"", ""691ce2a8-c4c3-51f3-8cb7-32f42cdee99e""]",True,2120,224
S002-Q021,4,2,2,False,"[90.0, 85.0]","[""6b4b9646-98e5-5584-bb4f-cc3b2b4e51d0"", ""4061a539-8cec-524a-9a35-60f71e908abb""]",True,1121,97
S002-Q022,1,5,1,True,"[100.0, 100.0, 100.0, 100.0, 100.0]","[""37f703bf-173c-56df-b339-f52774261c6e"", ""0c762a14-8087-5bb0-a22d-c86667c2dabe"", ""8abb5364-9164-5a46-826a-a0fde69d88a8"", ""1489a6a2-1be1-5d95-99ec-ac3f42b06c35"", ""ffe3f8c5-2f7a-5645-ac8f-b41d05a11638""]",True,2225,217
S002-Q022,2,5,5,False,"[90.0, 85.0, 80.0, 70.0, 75.0]","[""a6c0000c-f234-59a1-b6e5-1283680d9b77"", ""b304ab57-b911-5070-88ba-fca4f39a37e8"", ""6e877c55-d5b4-5992-9e95-5c482212a7c9"", ""03c3981b-3b09-56ca-a545-043c8ff0d240"", ""691ce2a8-c4c3-51f3-8cb7-32f42cdee99e""]",True,2248,222
S002-Q022,3,5,5,False,"[90.0, 85.0, 70.0, 80.0, 75.0]","[""4d8b4bb3-4a1f-538c-af07-cc0ce19ea796"", ""00ce1b35-d357-53e0-a42e-a8f97d4a07f0"", ""37d568b0-90c6-5481-b7d9-e0101fd95e52"", ""5d1eccd0-c642-585e-9c32-5450ef208a4b"", ""6b4b9646-98e5-5584-bb4f-cc3b2b4e51d0""]",True,2223,228
S002-Q022,4,3,1,True,"[100.0, 100.0, 100.0]","[""ceb187fe-1602-54a0-9ed7-224c7816f53e"", ""f70d87dd-c4b9-59de-a761-869308b1818b"", ""4061a539-8cec-524a-9a35-60f71e908abb""]",True,1454,132
S002-Q026,1,5,5,False,"[90.0, 85.0, 80.0, 75.0, 70.0]","[""691ce2a8-c4c3-51f3-8cb7-32f42cdee99e"", ""4d8b4bb3-4a1f-538c-af07-cc0ce19ea796"", ""b304ab57-b911-5070-88ba-fca4f39a37e8"", ""0c762a14-8087-5bb0-a22d-c86667c2dabe"", ""42756865-0f8f-5dcc-a050-6ecec5b828ce""]",True,2237,220
S002-Q026,2,5,1,True,"[100.0, 100.0, 100.0, 100.0, 100.0]","[""8abb5364-9164-5a46-826a-a0fde69d88a8"", ""37d568b0-90c6-5481-b7d9-e0101fd95e52"", ""00ce1b35-d357-53e0-a42e-a8f97d4a07f0"", ""5d1eccd0-c642-585e-9c32-5450ef208a4b"", ""e64218f2-62ce-555a-ba53-f3fd1214e0f7""]",True,2287,221
S002-Q026,3,5,5,False,"[70.0, 85.0, 80.0, 90.0, 75.0]","[""ffe3f8c5-2f7a-5645-ac8f-b41d05a11638"", ""a6c0000c-f234-59a1-b6e5-1283680d9b77"", ""37f703bf-173c-56df-b339-f52774261c6e"", ""c8f4e926-30e6-5f69-bf75-7901bee08448"", ""ceb187fe-1602-54a0-9ed7-224c7816f53e""]",True,2220,217
S002-Q026,4,5,1,True,"[100.0, 100.0, 100.0, 100.0, 100.0]","[""03c3981b-3b09-56ca-a545-043c8ff0d240"", ""9f71d35e-bf23-5ea1-9ed6-f9fb77b5ea80"", ""6e877c55-d5b4-5992-9e95-5c482212a7c9"", ""f70d87dd-c4b9-59de-a761-869308b1818b"", ""1489a6a2-1be1-5d95-99ec-ac3f42b06c35""]",True,2265,222
S002-Q028,1,5,1,True,"[100.0, 100.0, 100.0, 100.0, 100.0]","[""79860bb6-6010-5ca0-ac81-f4327e2bff44"", ""42756865-0f8f-5dcc-a050-6ecec5b828ce"", ""6d98ca26-e346-5273-b057-bb7822359930"", ""691ce2a8-c4c3-51f3-8cb7-32f42cdee99e"", ""00ce1b35-d357-53e0-a42e-a8f97d4a07f0""]",True,2046,215
S002-Q028,2,5,5,False,"[90.0, 85.0, 70.0, 80.0, 95.0]","[""a6c0000c-f234-59a1-b6e5-1283680d9b77"", ""8abb5364-9164-5a46-826a-a0fde69d88a8"", ""ffe3f8c5-2f7a-5645-ac8f-b41d05a11638"", ""b304ab57-b911-5070-88ba-fca4f39a37e8"", ""0c762a14-8087-5bb0-a22d-c86667c2dabe""]",True,2339,218
S002-Q028,3,5,5,False,"[90.0, 85.0, 80.0, 75.0, 70.0]","[""37f703bf-173c-56df-b339-f52774261c6e"", ""e64218f2-62ce-555a-ba53-f3fd1214e0f7"", ""6e877c55-d5b4-5992-9e95-5c482212a7c9"", ""6b4b9646-98e5-5584-bb4f-cc3b2b4e51d0"", ""1489a6a2-1be1-5d95-99ec-ac3f42b06c35""]",True,2334,224
S002-Q028,4,5,5,False,"[100.0, 80.0, 90.0, 95.0, 85.0]","[""c8f4e926-30e6-5f69-bf75-7901bee08448"", ""37d568b0-90c6-5481-b7d9-e0101fd95e52"", ""4d8b4bb3-4a1f-538c-af07-cc0ce19ea796"", ""9f71d35e-bf23-5ea1-9ed6-f9fb77b5ea80"", ""f70d87dd-c4b9-59de-a761-869308b1818b""]",True,2343,221
S002-Q033,1,5,1,True,"[100.0, 100.0, 100.0, 100.0, 100.0]","[""03c3981b-3b09-56ca-a545-043c8ff0d240"", ""79860bb6-6010-5ca0-ac81-f4327e2bff44"", ""4d8b4bb3-4a1f-538c-af07-cc0ce19ea796"", ""6d98ca26-e346-5273-b057-bb7822359930"", ""e64218f2-62ce-555a-ba53-f3fd1214e0f7""]",True,2301,213
S002-Q033,2,5,1,True,"[0.0, 0.0, 0.0, 0.0, 0.0]","[""a6c0000c-f234-59a1-b6e5-1283680d9b77"", ""0c762a14-8087-5bb0-a22d-c86667c2dabe"", ""9f1aca79-05a4-5e05-95d1-2323f4c68ed6"", ""37f703bf-173c-56df-b339-f52774261c6e"", ""42756865-0f8f-5dcc-a050-6ecec5b828ce""]",True,2259,217
