comparison,session_id,query_id,gold_page_id,gold_source_turn_id,before_rank,after_rank,rank_improvement,before_score,after_score,score_difference,raw_bm25_score,normalized_bm25_score,normal_final_score,fallback_final_score,fallback_applied
H5-W90-ZeroFallback vs H5-W90,S001,S001-Q039,c107828c-a741-55f6-8e0c-446cfbdba215,S001-Q032,13,27,-14,0.41865078829757557,0.41865078829757557,0.0,4.383376121520996,0.02170408000868419,0.41865078829757557,0.41865078829757557,False
H5-W90-ZeroFallback vs H5-W90,S001,S001-Q042,0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc,S001-Q036,8,6,2,0.4646942138671875,0.516326904296875,0.05163269042968749,0.0,0.0,0.4646942138671875,0.516326904296875,True
H5-W90-ZeroFallback vs H5-W90,S001,S001-Q044,32b5d492-2df9-5ed9-ac46-caca5c87097c,S001-Q034,4,4,0,0.37564943432807923,0.41738826036453247,0.041738826036453236,0.0,0.0,0.37564943432807923,0.41738826036453247,True
H5-W90-ZeroFallback vs H5-W90,S001,S001-Q044,4054aab2-0aa7-5019-b341-077265511add,S001-Q040,6,6,0,0.36991111636161805,0.41101235151290894,0.04110123515129088,0.0,0.0,0.36991111636161805,0.41101235151290894,True
H5-W90-ZeroFallback vs H5-W90,S001,S001-Q049,de592e81-e050-536b-8909-32866c85f6c2,S001-Q043,11,9,2,0.5422299027442933,0.6024776697158813,0.06024776697158807,0.0,0.0,0.5422299027442933,0.6024776697158813,True
H5-W90-ZeroFallback vs H5-W90,S002,S002-Q007,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,3,3,0,0.33836902038851796,0.33836902038851796,0.0,1.5993139743804932,0.005484427670580132,0.33836902038851796,0.33836902038851796,False
H5-W90-ZeroFallback vs H5-W90,S002,S002-Q011,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,7,7,0,0.31565887928009034,0.35073208808898926,0.035073208808898915,0.0,0.0,0.31565887928009034,0.35073208808898926,True
H5-W90-ZeroFallback vs H5-W90,S002,S002-Q011,03c3981b-3b09-56ca-a545-043c8ff0d240,S002-Q007,5,5,0,0.33289145529270175,0.3698793947696686,0.036987939476966825,0.0,0.0,0.33289145529270175,0.3698793947696686,True
H5-W90-ZeroFallback vs H5-W90,S002,S002-Q013,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,9,9,0,0.31123500466346743,0.3458166718482971,0.03458166718482969,0.0,0.0,0.31123500466346743,0.3458166718482971,True
H5-W90-ZeroFallback vs H5-W90,S002,S002-Q013,a6c0000c-f234-59a1-b6e5-1283680d9b77,S002-Q006,5,4,1,0.34035403132438663,0.3781711459159851,0.03781711459159848,0.0,0.0,0.34035403132438663,0.3781711459159851,True
H5-W90-ZeroFallback vs H5-W90,S002,S002-Q014,37d568b0-90c6-5481-b7d9-e0101fd95e52,S002-Q008,6,6,0,0.43030567084924587,0.43030567084924587,0.0,0.15131430327892303,0.002666435159862447,0.43030567084924587,0.43030567084924587,False
H5-W90-ZeroFallback vs H5-W90,S002,S002-Q021,691ce2a8-c4c3-51f3-8cb7-32f42cdee99e,S002-Q015,15,15,0,0.5834688457658882,0.5834688457658882,0.0,0.18373870849609375,0.002709898164863345,0.5834688457658882,0.5834688457658882,False
H5-W90-ZeroFallback vs H5-W90,S002,S002-Q022,4d8b4bb3-4a1f-538c-af07-cc0ce19ea796,S002-Q012,11,11,0,0.644137613160167,0.644137613160167,0.0,0.223360076546669,0.0027639685348062014,0.644137613160167,0.644137613160167,False
H5-W90-ZeroFallback vs H5-W90,S002,S002-Q022,b304ab57-b911-5070-88ba-fca4f39a37e8,S002-Q018,7,7,0,0.6596119021186804,0.6596119021186804,0.0,0.2228359580039978,0.0027632463073477683,0.6596119021186804,0.6596119021186804,False
H5-W90-ZeroFallback vs H5-W90,S002,S002-Q026,00ce1b35-d357-53e0-a42e-a8f97d4a07f0,S002-Q014,9,9,0,0.6145038516423647,0.6145038516423647,0.0,0.07167643308639526,0.0025626133894367893,0.6145038516423647,0.6145038516423647,False
H5-W90-ZeroFallback vs H5-W90,S002,S002-Q026,e64218f2-62ce-555a-ba53-f3fd1214e0f7,S002-Q019,11,11,0,0.6114833149408058,0.6114833149408058,0.0,0.07130484282970428,0.002562138532355805,0.6114833149408058,0.6114833149408058,False
H5-W90-ZeroFallback vs H5-W90,S002,S002-Q028,42756865-0f8f-5dcc-a050-6ecec5b828ce,S002-Q022,2,2,0,0.6765119325838663,0.6765119325838663,0.0,0.06554242223501205,0.0025547859293001828,0.6765119325838663,0.6765119325838663,False
H5-W90-ZeroFallback vs H5-W90,S002,S002-Q033,79860bb6-6010-5ca0-ac81-f4327e2bff44,S002-Q023,2,2,0,0.6711322680963879,0.6711322680963879,0.0,0.10877068340778351,0.0026104607719238822,0.6711322680963879,0.6711322680963879,False
H5-W90-ZeroFallback vs H5-W90,S002,S002-Q033,893b3ae9-1f94-5436-8c6d-54e200693867,S002-Q029,11,11,0,0.6492090162279842,0.6492090162279842,0.0,0.11369482427835464,0.002616878988978833,0.6492090162279842,0.6492090162279842,False
H5-W90-ZeroFallback vs H5-W90,S002,S002-Q035,893b3ae9-1f94-5436-8c6d-54e200693867,S002-Q029,11,11,0,0.6495985603429405,0.6495985603429405,0.0,0.077036552131176,0.002569472886650148,0.6495985603429405,0.6495985603429405,False
H5-W90-ZeroFallback vs H5-W90,S002,S002-Q039,0dd982c7-f7b2-5ac0-8c16-56d44bbe4330,S002-Q027,13,13,0,0.609799335934347,0.609799335934347,0.0,0.04525740444660187,0.0025290701550845693,0.609799335934347,0.609799335934347,False
H5-W90-ZeroFallback vs H5-W90,S002,S002-Q039,78a623b8-bff9-5b45-b990-24d74e714f9b,S002-Q032,3,3,0,0.6590791653327396,0.6590791653327396,0.0,4.4177446365356445,0.022071968249728385,0.6590791653327396,0.6590791653327396,False
H5-W90-ZeroFallback vs H5-W90,S002,S002-Q042,5c22c135-b86e-56a3-83eb-7484d1183dca,S002-Q036,13,13,0,0.6284403835254505,0.6284403835254505,0.0,0.5520829558372498,0.0032561168249387517,0.6284403835254505,0.6284403835254505,False
H5-W90-ZeroFallback vs H5-W90,S002,S002-Q044,57b8caa3-b46e-50f2-a65a-bb244543b1c3,S002-Q034,39,39,0,0.590576053398571,0.590576053398571,0.0,0.4169817864894867,0.003044076141929611,0.590576053398571,0.590576053398571,False
H5-W90-ZeroFallback vs H5-W90,S002,S002-Q044,647fce0c-6320-5a98-819d-50dff3300582,S002-Q040,4,4,0,0.6581405040823993,0.6581405040823993,0.0,0.04001456871628761,0.0025224657888983306,0.6581405040823993,0.6581405040823993,False
H5-W90-ZeroFallback vs H5-W90,S002,S002-Q049,57600f18-283a-5f61-bf9e-7a48d4f8d3c5,S002-Q043,4,4,0,0.611504668529805,0.611504668529805,0.0,3.2180259227752686,0.012236898501480296,0.611504668529805,0.611504668529805,False
H5-W90-ZeroFallback vs H5-W90,S002,S002-Q052,647fce0c-6320-5a98-819d-50dff3300582,S002-Q040,1,1,0,0.577803140785334,0.577803140785334,0.0,10.424078941345215,0.3126067509853588,0.577803140785334,0.577803140785334,False
H5-W90-ZeroFallback vs H5-W90,S002,S002-Q052,d728a292-3080-5624-89ff-d8e05d09e8ca,S002-Q045,14,21,-7,0.4376787237808059,0.4376787237808059,0.0,5.655285835266113,0.04021932928259216,0.4376787237808059,0.4376787237808059,False
H5-W90-ZeroFallback vs H5-W90,S002,S002-Q055,d728a292-3080-5624-89ff-d8e05d09e8ca,S002-Q045,16,41,-25,0.4455660380263279,0.4455660380263279,0.0,4.377259254455566,0.02163923515791706,0.4455660380263279,0.4455660380263279,False
H5-W90-ZeroFallback vs H5-W90,S002,S002-Q055,2e583969-bc65-5074-a7fe-0424438cd092,S002-Q051,12,34,-22,0.45484429867167075,0.45484429867167075,0.0,5.751677513122559,0.04212155651040878,0.45484429867167075,0.45484429867167075,False
H5-W90-ZeroFallback vs H5-W90,S002,S002-Q056,e40ec65e-2907-515a-b1dd-3bec39109106,S002-Q050,36,35,1,0.29924040734767915,0.33248934149742126,0.033248934149742115,0.0,0.0,0.29924040734767915,0.33248934149742126,True
H5-W90-ZeroFallback vs H5-W90,S002,S002-Q063,3549589e-05fe-5631-9385-5379f8dd4396,S002-Q057,13,7,6,0.5831715166568756,0.6479683518409729,0.06479683518409729,0.0,0.0,0.5831715166568756,0.6479683518409729,True
H5-W90-ZeroFallback vs H5-W90,S002,S002-Q065,a2f4bee5-f836-545e-8197-d79f3f2d284c,S002-Q053,1,1,0,0.5858397245407104,0.650933027267456,0.06509330272674563,0.0,0.0,0.5858397245407104,0.650933027267456,True
H5-W90-ZeroFallback vs H5-W90,S002,S002-Q065,7cf76f8c-3ecc-5aa0-8867-9b1934ccb270,S002-Q058,6,6,0,0.5679494440555573,0.6310549378395081,0.0631054937839508,0.0,0.0,0.5679494440555573,0.6310549378395081,True
H5-W90-ZeroFallback vs H5-W90,S002,S002-Q066,166328f1-a89c-5b18-8a53-02ac909e0849,S002-Q056,2,6,-4,0.5744011706870146,0.5744011706870146,0.0,2.126455545425415,0.007126576464720456,0.5744011706870146,0.5744011706870146,False
H5-W90-ZeroFallback vs H5-W90,S002,S002-Q066,323c7c4f-02b6-5801-9c72-3623423fb3c6,S002-Q062,11,7,4,0.49951486587524413,0.5550165176391602,0.05550165176391603,0.0,0.0,0.49951486587524413,0.5550165176391602,True
H5-W90-ZeroFallback vs H5-W90,S002,S002-Q070,95dce1c8-76eb-5c10-b622-b77e03c00526,S002-Q064,11,10,1,0.4253535568714142,0.4726150631904602,0.04726150631904602,0.0,0.0,0.4253535568714142,0.4726150631904602,True
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q007,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,2,1,1,0.31288260519504546,0.3476473391056061,0.03476473391056062,0.0,0.0,0.31288260519504546,0.3476473391056061,True
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q011,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,4,7,-3,0.42738107814665016,0.42738107814665016,0.0,4.07750129699707,0.018683589922922857,0.42738107814665016,0.42738107814665016,False
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q011,aacabfac-ac8e-5c81-8f0b-9adc0eeeef33,S003-Q007,1,4,-3,0.4471082548991655,0.4471082548991655,0.0,4.602160453796387,0.02415246833941773,0.4471082548991655,0.4471082548991655,False
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q013,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,6,9,-3,0.4490950744602063,0.4490950744602063,0.0,2.2604544162750244,0.007616650316097979,0.4490950744602063,0.4490950744602063,False
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q013,914dcda3-55d6-504a-9159-f6f54938f31f,S003-Q006,5,8,-3,0.45738948373019983,0.45738948373019983,0.0,3.093393087387085,0.011506119173793376,0.45738948373019983,0.45738948373019983,False
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q014,22322d48-4d17-5d2e-8760-ab1acaeb9f0a,S003-Q008,1,1,0,0.5610335846804265,0.5610335846804265,0.0,6.480720043182373,0.059544523619297914,0.5610335846804265,0.5610335846804265,False
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q021,1b59ffe6-5fba-511e-b39a-6529e998d6ca,S003-Q015,7,7,0,0.5988590202096276,0.5988590202096276,0.0,0.09139307588338852,0.0025879356892620597,0.5988590202096276,0.5988590202096276,False
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q022,4b59a558-4eb8-5c30-a40b-2e1cc9df12a2,S003-Q012,2,3,-1,0.587569449407317,0.587569449407317,0.0,2.75840163230896,0.026063780610340793,0.587569449407317,0.587569449407317,False
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q022,bd6d22da-10ea-5784-b308-d3f5d1f57469,S003-Q018,4,4,0,0.5656699790431706,0.5656699790431706,0.0,6.518675327301025,0.14922882504626975,0.5656699790431706,0.5656699790431706,False
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q026,cee54426-e3ab-5ae2-aaab-81de729e05f3,S003-Q014,16,18,-2,0.5273645623849513,0.5273645623849513,0.0,0.7503026723861694,0.003594144509912664,0.5273645623849513,0.5273645623849513,False
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q026,bd0dc9f1-4c0c-5c9f-b9c0-5a7b5051b7f2,S003-Q019,7,10,-3,0.5713131755661714,0.5713131755661714,0.0,0.752257764339447,0.0035976470229502643,0.5713131755661714,0.5713131755661714,False
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q028,9ca9c523-e56d-58df-aa6b-c54a80e3dbb5,S003-Q022,5,12,-7,0.5249937399638259,0.5249937399638259,0.0,7.509067535400391,0.09574125648792947,0.5249937399638259,0.5249937399638259,False
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q033,c96d749e-7c02-5289-ab48-fd03586dd5b1,S003-Q023,12,11,1,0.52508345246315,0.5834260582923889,0.05834260582923889,0.0,0.0,0.52508345246315,0.5834260582923889,True
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q033,1b535a84-9ae4-50ee-bbda-1d7ba186183e,S003-Q029,21,20,1,0.492151665687561,0.54683518409729,0.054683518409729015,0.0,0.0,0.492151665687561,0.54683518409729,True
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q035,1b535a84-9ae4-50ee-bbda-1d7ba186183e,S003-Q029,18,11,7,0.47189943194389344,0.5243327021598816,0.05243327021598815,0.0,0.0,0.47189943194389344,0.5243327021598816,True
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q039,4ed05884-3478-5a91-a63f-3067fd41956d,S003-Q027,2,2,0,0.6059193397822219,0.6059193397822219,0.0,1.901421070098877,0.006373013319807585,0.6059193397822219,0.6059193397822219,False
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q039,c94687e6-820c-5c03-a774-40d03e0f70be,S003-Q032,29,29,0,0.5076746906103927,0.5076746906103927,0.0,1.901421070098877,0.006373013319807585,0.5076746906103927,0.5076746906103927,False
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q042,82bf5c46-13d0-5fb7-9826-308047a68fc7,S003-Q036,8,3,5,0.4878207564353943,0.5420230627059937,0.054202306270599354,0.0,0.0,0.4878207564353943,0.5420230627059937,True
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q044,ae9f0678-a87f-5377-8edd-5fbd8ff4b4fa,S003-Q034,33,32,1,0.41395263969898227,0.4599473774433136,0.04599473774433133,0.0,0.0,0.41395263969898227,0.4599473774433136,True
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q044,bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c,S003-Q040,14,33,-19,0.4599244655456021,0.4599244655456021,0.0,5.394110679626465,0.035470308150723315,0.4599244655456021,0.4599244655456021,False
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q049,2316a391-e779-530b-ac2f-055182347d32,S003-Q043,22,7,15,0.4551109492778778,0.5056788325309753,0.05056788325309752,0.0,0.0,0.4551109492778778,0.5056788325309753,True
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q052,bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c,S003-Q040,10,24,-14,0.5398355123413822,0.5398355123413822,0.0,2.856363534927368,0.010233339680453214,0.5398355123413822,0.5398355123413822,False
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q052,cc3a667e-ea49-5490-bb5c-5a4d9db97e6f,S003-Q045,14,30,-16,0.5338495753175969,0.5338495753175969,0.0,2.848940134048462,0.010195813543553471,0.5338495753175969,0.5338495753175969,False
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q055,cc3a667e-ea49-5490-bb5c-5a4d9db97e6f,S003-Q045,41,41,0,0.3662290871143341,0.4069212079048157,0.04069212079048157,0.0,0.0,0.3662290871143341,0.4069212079048157,True
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q055,9409734e-8235-5011-8c1a-60ed15ad9024,S003-Q051,11,9,2,0.4310814678668976,0.4789794087409973,0.04789794087409971,0.0,0.0,0.4310814678668976,0.4789794087409973,True
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q056,59d896c1-0734-53cf-821a-5728dd5fe548,S003-Q050,3,2,1,0.4699727475643158,0.5221919417381287,0.05221919417381288,0.0,0.0,0.4699727475643158,0.5221919417381287,True
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q063,83b39f0f-a1ea-5e54-98aa-d61af4aee5f9,S003-Q057,19,15,4,0.3994816929101944,0.4438685476779938,0.044386854767799355,0.0,0.0,0.3994816929101944,0.4438685476779938,True
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q065,92bbf5d0-665d-52fa-92dd-d73231b6a2f4,S003-Q053,19,10,9,0.3965659439563751,0.4406288266181946,0.04406288266181946,0.0,0.0,0.3965659439563751,0.4406288266181946,True
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q065,ad470150-cd72-5d94-9d96-467573c4b92b,S003-Q058,14,8,6,0.3986252099275589,0.4429168999195099,0.04429168999195099,0.0,0.0,0.3986252099275589,0.4429168999195099,True
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q066,3e1cec0a-77e2-5463-865e-1f49b78e966c,S003-Q056,1,1,0,0.4405932515859604,0.48954805731773376,0.048954805731773354,0.0,0.0,0.4405932515859604,0.48954805731773376,True
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q066,e6b075df-0710-53c0-a850-a6bc715553b6,S003-Q062,18,18,0,0.36622879207134246,0.4069208800792694,0.04069208800792695,0.0,0.0,0.36622879207134246,0.4069208800792694,True
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q070,6e93a473-ae4a-524c-aee1-43aafd7f6bb0,S003-Q064,4,3,1,0.4141128480434418,0.4601253867149353,0.04601253867149352,0.0,0.0,0.4141128480434418,0.4601253867149353,True
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q077,21f9ae05-f6a0-5cc5-af10-142d014dcf11,S003-Q067,17,31,-14,0.5467685373819092,0.5467685373819092,0.0,1.0776236057281494,0.004230531251647952,0.5467685373819092,0.5467685373819092,False
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q077,96af7f08-1678-5164-9e1e-935a577a7d1b,S003-Q071,55,57,-2,0.49264220822140353,0.49264220822140353,0.0,1.0720367431640625,0.004218779830612506,0.49264220822140353,0.49264220822140353,False
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q077,2fdaac5c-103c-5100-8480-7d15511a3658,S003-Q073,27,41,-14,0.5347614677942016,0.5347614677942016,0.0,1.0776236057281494,0.004230531251647952,0.5347614677942016,0.5347614677942016,False
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q078,70584af0-da6d-5ee7-9e7c-ad3f962ef545,S003-Q066,5,4,1,0.4828435957431793,0.5364928841590881,0.053649288415908825,0.0,0.0,0.4828435957431793,0.5364928841590881,True
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q078,96af7f08-1678-5164-9e1e-935a577a7d1b,S003-Q071,47,39,8,0.43467358946800233,0.482970654964447,0.04829706549644469,0.0,0.0,0.43467358946800233,0.482970654964447,True
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q084,15caa01c-5d97-5da1-93ca-bbb8a8cf5f22,S003-Q078,31,51,-20,0.578551340477132,0.578551340477132,0.0,2.706550359725952,0.009501818582049733,0.578551340477132,0.578551340477132,False
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q088,15caa01c-5d97-5da1-93ca-bbb8a8cf5f22,S003-Q078,13,11,2,0.5438008725643159,0.6042231917381287,0.0604223191738128,0.0,0.0,0.5438008725643159,0.6042231917381287,True
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q088,dc75d4a6-dbec-512b-bed7-4048466382c6,S003-Q084,48,42,6,0.5132293224334717,0.5702548027038574,0.057025480270385676,0.0,0.0,0.5132293224334717,0.5702548027038574,True
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q091,68d070f4-4242-579d-b5a8-83f3dc6283b3,S003-Q079,23,19,4,0.47139791250228885,0.5237754583358765,0.05237754583358761,0.0,0.0,0.47139791250228885,0.5237754583358765,True
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q091,dc75d4a6-dbec-512b-bed7-4048466382c6,S003-Q084,1,20,-19,0.5232578547650978,0.5232578547650978,0.0,10.239152908325195,0.29309001749198044,0.5232578547650978,0.5232578547650978,False
H5-W90-ZeroFallback vs H5-W90,S003,S003-Q091,ff75fe78-c1af-5b7a-a243-9648b6132a06,S003-Q085,24,21,3,0.46997596621513366,0.5221955180168152,0.05221955180168153,0.0,0.0,0.46997596621513366,0.5221955180168152,True
H5-W90-ZeroFallback vs H5-W90,S004,S004-Q007,9de4c8e1-1f2d-56af-8e3f-eaed84f7c238,S004-Q001,3,2,1,0.3159032821655274,0.35100364685058594,0.03510036468505856,0.0,0.0,0.3159032821655274,0.35100364685058594,True
H5-W90-ZeroFallback vs H5-W90,S004,S004-Q011,9de4c8e1-1f2d-56af-8e3f-eaed84f7c238,S004-Q001,7,5,2,0.4519903600215912,0.5022115111351013,0.05022115111351011,0.0,0.0,0.4519903600215912,0.5022115111351013,True
H5-W90-ZeroFallback vs H5-W90,S004,S004-Q011,75c0a8f8-fa8f-5fdb-89db-f1e0f0f43bb4,S004-Q007,1,2,-1,0.5613890469953644,0.5613890469953644,0.0,4.604520320892334,0.024180293962585923,0.5613890469953644,0.5613890469953644,False
H5-W90-ZeroFallback vs H5-W90,S004,S004-Q013,9de4c8e1-1f2d-56af-8e3f-eaed84f7c238,S004-Q001,8,8,0,0.5345554927041596,0.5345554927041596,0.0,0.5717503428459167,0.003288188626830552,0.5345554927041596,0.5345554927041596,False
H5-W90-ZeroFallback vs H5-W90,S004,S004-Q013,d876eb51-66ba-5437-955a-25c3f405ef2f,S004-Q006,5,5,0,0.5544675642140413,0.5544675642140413,0.0,0.5687745213508606,0.003283315785433237,0.5544675642140413,0.5544675642140413,False
H5-W90-ZeroFallback vs H5-W90,S004,S004-Q014,a60bbf7a-8108-58fc-8b4a-1356764282aa,S004-Q008,2,2,0,0.47251318675061593,0.47251318675061593,0.0,1.4612430334091187,0.005120454408777239,0.47251318675061593,0.47251318675061593,False
H5-W90-ZeroFallback vs H5-W90,S004,S004-Q021,112af49e-d51f-599c-ad67-5cc18432f1a8,S004-Q015,11,11,0,0.6280803011745049,0.6280803011745049,0.0,2.2884998321533203,0.007723378032278955,0.6280803011745049,0.6280803011745049,False
H5-W90-ZeroFallback vs H5-W90,S004,S004-Q022,1404aa4a-3c7a-565e-8e67-9f834683b3b2,S004-Q012,3,3,0,0.6430801839662651,0.6430801839662651,0.0,4.5042290687561035,0.02302488787279437,0.6430801839662651,0.6430801839662651,False
H5-W90-ZeroFallback vs H5-W90,S004,S004-Q022,1e8809d9-9426-51b9-9e17-039093174440,S004-Q018,5,5,0,0.6363991336821756,0.6363991336821756,0.0,1.1737117767333984,0.004437820910653476,0.6363991336821756,0.6363991336821756,False
H5-W90-ZeroFallback vs H5-W90,S004,S004-Q026,7567fc91-4210-59bc-ac74-0cc3060edc83,S004-Q014,18,18,0,0.653821615388123,0.653821615388123,0.0,0.07093708217144012,0.002561668655552021,0.653821615388123,0.653821615388123,False
H5-W90-ZeroFallback vs H5-W90,S004,S004-Q026,fadb48cb-a45f-5f46-8f39-e18bd7dff4f1,S004-Q019,15,15,0,0.6710453066323951,0.6710453066323951,0.0,0.07130484282970428,0.002562138532355805,0.6710453066323951,0.6710453066323951,False
