session_id,source_turn_id,user_indicator_set,assistant_indicator_set,old_summary_indicator_set,new_summary_indicator_set,old_summary_indicator_count,new_summary_indicator_count,old_summary_assistant_only_not_user,new_summary_assistant_only_not_user,old_summary_unsupported_indicator_set,new_summary_unsupported_indicator_set
S001,S001-Q011,"[""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""营业收入""]",3,3,"[""归母净利润"", ""归母股东权益""]","[""归母净利润"", ""归母股东权益""]",[],[]
S001,S001-Q012,"[""归母净利润""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""总资产""]","[""归母净利润"", ""总资产""]",2,2,"[""总资产""]","[""总资产""]",[],[]
S001,S001-Q013,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""营业收入""]","[""归母净利润"", ""总资产""]",5,2,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""营业收入""]","[""归母净利润"", ""总资产""]",[],[]
S001,S001-Q014,"[""扣非归母净利润""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""总资产"", ""扣非归母净利润"", ""营业收入""]","[""归母股东权益"", ""扣非归母净利润"", ""营业收入""]",4,3,"[""归母净利润"", ""总资产"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",[],[]
S001,S001-Q015,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母股东权益"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",2,2,"[""归母股东权益"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",[],[]
S001,S001-Q016,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""总资产""]",6,2,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""总资产""]",[],[]
S001,S001-Q017,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""总资产""]","[""归母净利润"", ""总资产""]",2,2,"[""归母净利润"", ""总资产""]","[""归母净利润"", ""总资产""]",[],[]
S001,S001-Q018,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",4,2,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",[],[]
S001,S001-Q019,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母股东权益"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",2,2,"[""归母股东权益"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",[],[]
S001,S001-Q020,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""总资产""]","[""归母净利润"", ""总资产""]",2,2,"[""归母净利润"", ""总资产""]","[""归母净利润"", ""总资产""]",[],[]
S001,S001-Q021,"[""经营活动现金流净额""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""总资产"", ""经营活动现金流净额""]",5,3,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""总资产""]",[],[]
S001,S001-Q022,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",4,2,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",[],[]
S001,S001-Q023,"[""归母净利润""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""经营活动现金流净额"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",5,2,"[""归母股东权益"", ""总资产"", ""经营活动现金流净额"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",[],[]
S001,S001-Q024,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""总资产""]",4,2,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""总资产""]",[],[]
S001,S001-Q025,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""总资产""]",4,2,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""总资产""]",[],[]
S001,S001-Q026,"[""总资产""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母股东权益"", ""总资产"", ""营业收入""]","[""归母股东权益"", ""总资产"", ""营业收入""]",3,3,"[""归母股东权益"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",[],[]
S001,S001-Q027,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母股东权益"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",2,2,"[""归母股东权益"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",[],[]
S001,S001-Q028,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""总资产""]","[""归母净利润"", ""总资产""]",2,2,"[""归母净利润"", ""总资产""]","[""归母净利润"", ""总资产""]",[],[]
S001,S001-Q029,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""总资产""]",5,2,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""总资产""]",[],[]
S001,S001-Q030,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",4,2,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",[],[]
S001,S001-Q031,"[""总资产""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母股东权益"", ""总资产"", ""营业收入""]",4,3,"[""归母净利润"", ""归母股东权益"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",[],[]
S001,S001-Q032,"[""归母股东权益""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产""]","[""归母净利润"", ""归母股东权益"", ""总资产""]",3,3,"[""归母净利润"", ""总资产""]","[""归母净利润"", ""总资产""]",[],[]
S001,S001-Q033,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""总资产""]","[""归母净利润"", ""总资产""]",2,2,"[""归母净利润"", ""总资产""]","[""归母净利润"", ""总资产""]",[],[]
S001,S001-Q034,"[""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母股东权益"", ""总资产"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",3,2,"[""归母股东权益"", ""总资产""]","[""归母股东权益""]",[],[]
S001,S001-Q035,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母股东权益"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",2,2,"[""归母股东权益"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",[],[]
S001,S001-Q036,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""总资产""]",4,2,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""总资产""]",[],[]
S001,S001-Q037,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""总资产""]","[""归母净利润"", ""总资产""]",2,2,"[""归母净利润"", ""总资产""]","[""归母净利润"", ""总资产""]",[],[]
S001,S001-Q038,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",4,2,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",[],[]
S001,S001-Q039,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母股东权益"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",2,2,"[""归母股东权益"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",[],[]
S001,S001-Q040,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""总资产"", ""经营活动现金流净额""]",4,3,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""总资产"", ""经营活动现金流净额""]",[],[]
S001,S001-Q041,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""总资产""]",4,2,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""总资产""]",[],[]
S001,S001-Q042,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",4,2,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",[],[]
S001,S001-Q043,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",6,2,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",[],[]
S001,S001-Q044,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""总资产""]",4,2,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""总资产""]",[],[]
S001,S001-Q045,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""总资产""]",6,2,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""总资产""]",[],[]
S001,S001-Q046,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",4,2,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",[],[]
S001,S001-Q047,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",4,2,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",[],[]
S002,S002-Q001,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]",4,4,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]",[],[]
S002,S002-Q002,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]",4,4,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]",[],[]
S002,S002-Q003,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""总资产"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]",3,4,"[""归母净利润"", ""总资产"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]",[],[]
S002,S002-Q004,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母股东权益"", ""总资产""]",4,2,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母股东权益"", ""总资产""]",[],[]
S002,S002-Q005,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]",4,4,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]",[],[]
S002,S002-Q006,"[""扣非归母净利润""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""总资产"", ""扣非归母净利润"", ""营业收入""]","[""归母净利润"", ""扣非归母净利润"", ""营业收入""]",4,3,"[""归母净利润"", ""总资产"", ""营业收入""]","[""归母净利润"", ""营业收入""]",[],[]
S002,S002-Q007,"[""经营活动现金流净额""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""经营活动现金流净额"", ""营业收入""]",5,3,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""营业收入""]",[],[]
S002,S002-Q008,"[""总资产""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母股东权益"", ""总资产""]",6,2,"[""归母净利润"", ""归母股东权益"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母股东权益""]",[],[]
S002,S002-Q009,"[""归母股东权益""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母股东权益"", ""总资产""]",4,2,"[""归母净利润"", ""总资产"", ""营业收入""]","[""总资产""]",[],[]
S002,S002-Q010,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]",4,4,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]",[],[]
S002,S002-Q011,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""营业收入""]",4,2,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""营业收入""]",[],[]
S002,S002-Q012,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母股东权益"", ""总资产""]",6,2,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母股东权益"", ""总资产""]",[],[]
S002,S002-Q013,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]",4,4,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]",[],[]
S002,S002-Q014,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""营业收入""]",4,2,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""营业收入""]",[],[]
S002,S002-Q015,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]",6,6,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]",[],[]
S002,S002-Q016,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母股东权益"", ""总资产""]",4,2,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母股东权益"", ""总资产""]",[],[]
S002,S002-Q017,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]",4,4,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]",[],[]
S002,S002-Q018,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]",4,6,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]",[],[]
S002,S002-Q019,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""营业收入""]","[""归母净利润"", ""营业收入""]",2,2,"[""归母净利润"", ""营业收入""]","[""归母净利润"", ""营业收入""]",[],[]
S002,S002-Q020,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]",4,4,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]",[],[]
S002,S002-Q021,"[""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]",4,4,"[""归母净利润"", ""归母股东权益"", ""总资产""]","[""归母净利润"", ""归母股东权益"", ""总资产""]",[],[]
S002,S002-Q022,"[""归母净利润""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""营业收入""]","[""归母净利润"", ""营业收入""]",2,2,"[""营业收入""]","[""营业收入""]",[],[]
S002,S002-Q023,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""营业收入""]","[""归母净利润"", ""营业收入""]",2,2,"[""归母净利润"", ""营业收入""]","[""归母净利润"", ""营业收入""]",[],[]
