comparison,session_id,query_id,gold_page_id,gold_source_turn_id,before_rank,after_rank,rank_improvement,before_score,after_score,score_difference
Fresh re-encoded Production vs stored Production,S001,S001-Q033,b4497adc-7393-57c0-8917-ce3372fbd151,S001-Q029,24,24,0,0.481160044670105,0.481160044670105,0.0
Fresh re-encoded Production vs stored Production,S001,S001-Q035,b4497adc-7393-57c0-8917-ce3372fbd151,S001-Q029,28,28,0,0.3815840482711792,0.38158416748046875,1.1920928955078125e-07
Fresh re-encoded Production vs stored Production,S001,S001-Q039,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,S001-Q027,3,3,0,0.49549949169158936,0.4954995810985565,8.940696716308594e-08
Fresh re-encoded Production vs stored Production,S001,S001-Q039,c107828c-a741-55f6-8e0c-446cfbdba215,S001-Q032,11,11,0,0.4700566232204437,0.47005659341812134,-2.9802322387695312e-08
Fresh re-encoded Production vs stored Production,S001,S001-Q042,0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc,S001-Q036,6,6,0,0.524163007736206,0.5241630673408508,5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S001,S001-Q044,32b5d492-2df9-5ed9-ac46-caca5c87097c,S001-Q034,15,15,0,0.38481488823890686,0.3848148584365845,-2.9802322387695312e-08
Fresh re-encoded Production vs stored Production,S001,S001-Q044,4054aab2-0aa7-5019-b341-077265511add,S001-Q040,29,29,0,0.335262268781662,0.33526238799095154,1.1920928955078125e-07
Fresh re-encoded Production vs stored Production,S001,S001-Q049,de592e81-e050-536b-8909-32866c85f6c2,S001-Q043,11,11,0,0.5786396265029907,0.578639566898346,-5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S002,S002-Q007,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,3,3,0,0.3383246064186096,0.33832451701164246,-8.940696716308594e-08
Fresh re-encoded Production vs stored Production,S002,S002-Q011,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,6,6,0,0.3450709879398346,0.3450709879398346,0.0
Fresh re-encoded Production vs stored Production,S002,S002-Q011,03c3981b-3b09-56ca-a545-043c8ff0d240,S002-Q007,3,3,0,0.3914192020893097,0.39141926169395447,5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S002,S002-Q013,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,9,9,0,0.3315993845462799,0.3315993845462799,0.0
Fresh re-encoded Production vs stored Production,S002,S002-Q013,a6c0000c-f234-59a1-b6e5-1283680d9b77,S002-Q006,5,5,0,0.4067201614379883,0.4067201018333435,-5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S002,S002-Q014,37d568b0-90c6-5481-b7d9-e0101fd95e52,S002-Q008,3,3,0,0.5073203444480896,0.5073203444480896,0.0
Fresh re-encoded Production vs stored Production,S002,S002-Q021,691ce2a8-c4c3-51f3-8cb7-32f42cdee99e,S002-Q015,13,13,0,0.6465377807617188,0.6465377807617188,0.0
Fresh re-encoded Production vs stored Production,S002,S002-Q022,4d8b4bb3-4a1f-538c-af07-cc0ce19ea796,S002-Q012,4,4,0,0.7392288446426392,0.7392288446426392,0.0
Fresh re-encoded Production vs stored Production,S002,S002-Q022,b304ab57-b911-5070-88ba-fca4f39a37e8,S002-Q018,11,11,0,0.7118639945983887,0.7118639945983887,0.0
Fresh re-encoded Production vs stored Production,S002,S002-Q026,00ce1b35-d357-53e0-a42e-a8f97d4a07f0,S002-Q014,6,6,0,0.6949952840805054,0.6949954628944397,1.7881393432617188e-07
Fresh re-encoded Production vs stored Production,S002,S002-Q026,e64218f2-62ce-555a-ba53-f3fd1214e0f7,S002-Q019,9,9,0,0.6865124106407166,0.6865124702453613,5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S002,S002-Q028,42756865-0f8f-5dcc-a050-6ecec5b828ce,S002-Q022,1,1,0,0.772222638130188,0.7722225189208984,-1.1920928955078125e-07
Fresh re-encoded Production vs stored Production,S002,S002-Q033,79860bb6-6010-5ca0-ac81-f4327e2bff44,S002-Q023,4,4,0,0.7509974837303162,0.7509975433349609,5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S002,S002-Q033,893b3ae9-1f94-5436-8c6d-54e200693867,S002-Q029,11,11,0,0.7133919596672058,0.713391900062561,-5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S002,S002-Q035,893b3ae9-1f94-5436-8c6d-54e200693867,S002-Q029,9,9,0,0.7331234216690063,0.7331233620643616,-5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S002,S002-Q039,0dd982c7-f7b2-5ac0-8c16-56d44bbe4330,S002-Q027,12,12,0,0.6947564482688904,0.6947563290596008,-1.1920928955078125e-07
Fresh re-encoded Production vs stored Production,S002,S002-Q039,78a623b8-bff9-5b45-b990-24d74e714f9b,S002-Q032,1,1,0,0.7444235682487488,0.7444234490394592,-1.1920928955078125e-07
Fresh re-encoded Production vs stored Production,S002,S002-Q042,5c22c135-b86e-56a3-83eb-7484d1183dca,S002-Q036,4,4,0,0.7403773665428162,0.7403774261474609,5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S002,S002-Q044,57b8caa3-b46e-50f2-a65a-bb244543b1c3,S002-Q034,40,40,0,0.6301290988922119,0.6301290988922119,0.0
Fresh re-encoded Production vs stored Production,S002,S002-Q044,647fce0c-6320-5a98-819d-50dff3300582,S002-Q040,11,11,0,0.7112531661987305,0.7112532258033752,5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S002,S002-Q049,57600f18-283a-5f61-bf9e-7a48d4f8d3c5,S002-Q043,5,5,0,0.6977246403694153,0.6977245211601257,-1.1920928955078125e-07
Fresh re-encoded Production vs stored Production,S002,S002-Q052,647fce0c-6320-5a98-819d-50dff3300582,S002-Q040,2,2,0,0.5538136959075928,0.5538139343261719,2.384185791015625e-07
Fresh re-encoded Production vs stored Production,S002,S002-Q052,d728a292-3080-5624-89ff-d8e05d09e8ca,S002-Q045,5,5,0,0.5295717120170593,0.5295715928077698,-1.1920928955078125e-07
Fresh re-encoded Production vs stored Production,S002,S002-Q055,d728a292-3080-5624-89ff-d8e05d09e8ca,S002-Q045,5,5,0,0.519546627998352,0.5195465087890625,-1.1920928955078125e-07
Fresh re-encoded Production vs stored Production,S002,S002-Q055,2e583969-bc65-5074-a7fe-0424438cd092,S002-Q051,13,13,0,0.4991377890110016,0.49913787841796875,8.940696716308594e-08
Fresh re-encoded Production vs stored Production,S002,S002-Q056,e40ec65e-2907-515a-b1dd-3bec39109106,S002-Q050,34,34,0,0.34421661496162415,0.34421661496162415,0.0
Fresh re-encoded Production vs stored Production,S002,S002-Q063,3549589e-05fe-5631-9385-5379f8dd4396,S002-Q057,22,22,0,0.5971354246139526,0.5971355438232422,1.1920928955078125e-07
Fresh re-encoded Production vs stored Production,S002,S002-Q065,a2f4bee5-f836-545e-8197-d79f3f2d284c,S002-Q053,2,2,0,0.6259294152259827,0.6259294748306274,5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S002,S002-Q065,7cf76f8c-3ecc-5aa0-8867-9b1934ccb270,S002-Q058,20,20,0,0.5521422624588013,0.5521422624588013,0.0
Fresh re-encoded Production vs stored Production,S002,S002-Q066,166328f1-a89c-5b18-8a53-02ac909e0849,S002-Q056,1,1,0,0.5971285104751587,0.5971285104751587,0.0
Fresh re-encoded Production vs stored Production,S002,S002-Q066,323c7c4f-02b6-5801-9c72-3623423fb3c6,S002-Q062,17,17,0,0.5194598436355591,0.5194598436355591,0.0
Fresh re-encoded Production vs stored Production,S002,S002-Q070,95dce1c8-76eb-5c10-b622-b77e03c00526,S002-Q064,37,37,0,0.3976052701473236,0.397605299949646,2.9802322387695312e-08
Fresh re-encoded Production vs stored Production,S003,S003-Q007,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,1,1,0,0.37955912947654724,0.379559189081192,5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S003,S003-Q011,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,3,3,0,0.48598745465278625,0.48598748445510864,2.9802322387695312e-08
Fresh re-encoded Production vs stored Production,S003,S003-Q011,aacabfac-ac8e-5c81-8f0b-9adc0eeeef33,S003-Q007,2,2,0,0.513968288898468,0.5139684081077576,1.1920928955078125e-07
Fresh re-encoded Production vs stored Production,S003,S003-Q013,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,6,6,0,0.5126270055770874,0.5126270651817322,5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S003,S003-Q013,914dcda3-55d6-504a-9159-f6f54938f31f,S003-Q006,2,2,0,0.5747254490852356,0.5747253894805908,-5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S003,S003-Q014,22322d48-4d17-5d2e-8760-ab1acaeb9f0a,S003-Q008,1,1,0,0.5515123605728149,0.5515123605728149,0.0
Fresh re-encoded Production vs stored Production,S003,S003-Q021,1b59ffe6-5fba-511e-b39a-6529e998d6ca,S003-Q015,16,16,0,0.5892691612243652,0.5892691612243652,0.0
Fresh re-encoded Production vs stored Production,S003,S003-Q022,4b59a558-4eb8-5c30-a40b-2e1cc9df12a2,S003-Q012,1,1,0,0.613099217414856,0.6130992770195007,5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S003,S003-Q022,bd6d22da-10ea-5784-b308-d3f5d1f57469,S003-Q018,5,5,0,0.5816530585289001,0.5816531181335449,5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S003,S003-Q026,cee54426-e3ab-5ae2-aaab-81de729e05f3,S003-Q014,21,21,0,0.5282920002937317,0.5282919406890869,-5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S003,S003-Q026,bd0dc9f1-4c0c-5c9f-b9c0-5a7b5051b7f2,S003-Q019,14,14,0,0.5923358201980591,0.5923358201980591,0.0
Fresh re-encoded Production vs stored Production,S003,S003-Q028,9ca9c523-e56d-58df-aa6b-c54a80e3dbb5,S003-Q022,1,1,0,0.576715350151062,0.576715350151062,0.0
Fresh re-encoded Production vs stored Production,S003,S003-Q033,c96d749e-7c02-5289-ab48-fd03586dd5b1,S003-Q023,15,15,0,0.5715500116348267,0.5715498924255371,-1.1920928955078125e-07
Fresh re-encoded Production vs stored Production,S003,S003-Q033,1b535a84-9ae4-50ee-bbda-1d7ba186183e,S003-Q029,13,13,0,0.5745878219604492,0.5745879411697388,1.1920928955078125e-07
Fresh re-encoded Production vs stored Production,S003,S003-Q035,1b535a84-9ae4-50ee-bbda-1d7ba186183e,S003-Q029,7,7,0,0.5711592435836792,0.5711592435836792,0.0
Fresh re-encoded Production vs stored Production,S003,S003-Q039,4ed05884-3478-5a91-a63f-3067fd41956d,S003-Q027,6,6,0,0.6036669015884399,0.6036669015884399,0.0
Fresh re-encoded Production vs stored Production,S003,S003-Q039,c94687e6-820c-5c03-a774-40d03e0f70be,S003-Q032,23,23,0,0.5550810694694519,0.5550810694694519,0.0
Fresh re-encoded Production vs stored Production,S003,S003-Q042,82bf5c46-13d0-5fb7-9826-308047a68fc7,S003-Q036,12,12,0,0.5011759996414185,0.5011759996414185,0.0
Fresh re-encoded Production vs stored Production,S003,S003-Q044,ae9f0678-a87f-5377-8edd-5fbd8ff4b4fa,S003-Q034,37,37,0,0.4009627103805542,0.4009627103805542,0.0
Fresh re-encoded Production vs stored Production,S003,S003-Q044,bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c,S003-Q040,22,22,0,0.44993263483047485,0.44993260502815247,-2.9802322387695312e-08
Fresh re-encoded Production vs stored Production,S003,S003-Q049,2316a391-e779-530b-ac2f-055182347d32,S003-Q043,24,24,0,0.4596657454967499,0.4596657156944275,-2.9802322387695312e-08
Fresh re-encoded Production vs stored Production,S003,S003-Q052,bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c,S003-Q040,9,9,0,0.5820356607437134,0.5820356011390686,-5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S003,S003-Q052,cc3a667e-ea49-5490-bb5c-5a4d9db97e6f,S003-Q045,36,36,0,0.5231874585151672,0.5231873989105225,-5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S003,S003-Q055,cc3a667e-ea49-5490-bb5c-5a4d9db97e6f,S003-Q045,50,50,0,0.37348854541778564,0.37348851561546326,-2.9802322387695312e-08
Fresh re-encoded Production vs stored Production,S003,S003-Q055,9409734e-8235-5011-8c1a-60ed15ad9024,S003-Q051,8,8,0,0.46663036942481995,0.46663036942481995,0.0
Fresh re-encoded Production vs stored Production,S003,S003-Q056,59d896c1-0734-53cf-821a-5728dd5fe548,S003-Q050,31,31,0,0.42623037099838257,0.4262303411960602,-2.9802322387695312e-08
Fresh re-encoded Production vs stored Production,S003,S003-Q063,83b39f0f-a1ea-5e54-98aa-d61af4aee5f9,S003-Q057,14,14,0,0.4297247529029846,0.4297245442867279,-2.086162567138672e-07
Fresh re-encoded Production vs stored Production,S003,S003-Q065,92bbf5d0-665d-52fa-92dd-d73231b6a2f4,S003-Q053,31,31,0,0.3913128972053528,0.39131271839141846,-1.7881393432617188e-07
Fresh re-encoded Production vs stored Production,S003,S003-Q065,ad470150-cd72-5d94-9d96-467573c4b92b,S003-Q058,33,33,0,0.38522157073020935,0.38522154092788696,-2.9802322387695312e-08
Fresh re-encoded Production vs stored Production,S003,S003-Q066,3e1cec0a-77e2-5463-865e-1f49b78e966c,S003-Q056,4,4,0,0.4304228127002716,0.43042296171188354,1.4901161193847656e-07
Fresh re-encoded Production vs stored Production,S003,S003-Q066,e6b075df-0710-53c0-a850-a6bc715553b6,S003-Q062,40,40,0,0.3276005983352661,0.3276005685329437,-2.9802322387695312e-08
Fresh re-encoded Production vs stored Production,S003,S003-Q070,6e93a473-ae4a-524c-aee1-43aafd7f6bb0,S003-Q064,6,6,0,0.41459009051322937,0.414590060710907,-2.9802322387695312e-08
Fresh re-encoded Production vs stored Production,S003,S003-Q077,21f9ae05-f6a0-5cc5-af10-142d014dcf11,S003-Q067,3,3,0,0.6059979200363159,0.6059978604316711,-5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S003,S003-Q077,96af7f08-1678-5164-9e1e-935a577a7d1b,S003-Q071,70,70,0,0.4838414788246155,0.4838413596153259,-1.1920928955078125e-07
Fresh re-encoded Production vs stored Production,S003,S003-Q077,2fdaac5c-103c-5100-8480-7d15511a3658,S003-Q073,13,13,0,0.5801041126251221,0.5801041722297668,5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S003,S003-Q078,70584af0-da6d-5ee7-9e7c-ad3f962ef545,S003-Q066,8,8,0,0.5034887790679932,0.5034888386726379,5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S003,S003-Q078,96af7f08-1678-5164-9e1e-935a577a7d1b,S003-Q071,70,70,0,0.4027945399284363,0.4027944803237915,-5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S003,S003-Q084,15caa01c-5d97-5da1-93ca-bbb8a8cf5f22,S003-Q078,65,65,0,0.591045081615448,0.591045081615448,0.0
Fresh re-encoded Production vs stored Production,S003,S003-Q088,15caa01c-5d97-5da1-93ca-bbb8a8cf5f22,S003-Q078,77,77,0,0.46810898184776306,0.46810901165008545,2.9802322387695312e-08
Fresh re-encoded Production vs stored Production,S003,S003-Q088,dc75d4a6-dbec-512b-bed7-4048466382c6,S003-Q084,49,49,0,0.5106473565101624,0.5106472373008728,-1.1920928955078125e-07
Fresh re-encoded Production vs stored Production,S003,S003-Q091,68d070f4-4242-579d-b5a8-83f3dc6283b3,S003-Q079,27,27,0,0.4808177947998047,0.4808177053928375,-8.940696716308594e-08
Fresh re-encoded Production vs stored Production,S003,S003-Q091,dc75d4a6-dbec-512b-bed7-4048466382c6,S003-Q084,4,4,0,0.5210728645324707,0.5210726857185364,-1.7881393432617188e-07
Fresh re-encoded Production vs stored Production,S003,S003-Q091,ff75fe78-c1af-5b7a-a243-9648b6132a06,S003-Q085,8,8,0,0.510424792766571,0.5104248523712158,5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S004,S004-Q007,9de4c8e1-1f2d-56af-8e3f-eaed84f7c238,S004-Q001,2,2,0,0.34884530305862427,0.34884536266326904,5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S004,S004-Q011,9de4c8e1-1f2d-56af-8e3f-eaed84f7c238,S004-Q001,6,6,0,0.5032122135162354,0.5032122135162354,0.0
Fresh re-encoded Production vs stored Production,S004,S004-Q011,75c0a8f8-fa8f-5fdb-89db-f1e0f0f43bb4,S004-Q007,1,1,0,0.6697134971618652,0.6697136163711548,1.1920928955078125e-07
Fresh re-encoded Production vs stored Production,S004,S004-Q013,9de4c8e1-1f2d-56af-8e3f-eaed84f7c238,S004-Q001,8,8,0,0.5841161012649536,0.5841162204742432,1.1920928955078125e-07
Fresh re-encoded Production vs stored Production,S004,S004-Q013,d876eb51-66ba-5437-955a-25c3f405ef2f,S004-Q006,3,3,0,0.6438204050064087,0.6438205242156982,1.1920928955078125e-07
Fresh re-encoded Production vs stored Production,S004,S004-Q014,a60bbf7a-8108-58fc-8b4a-1356764282aa,S004-Q008,2,2,0,0.5726079940795898,0.5726082921028137,2.980232238769531e-07
Fresh re-encoded Production vs stored Production,S004,S004-Q021,112af49e-d51f-599c-ad67-5cc18432f1a8,S004-Q015,11,11,0,0.692194402217865,0.692194402217865,0.0
Fresh re-encoded Production vs stored Production,S004,S004-Q022,1404aa4a-3c7a-565e-8e67-9f834683b3b2,S004-Q012,2,2,0,0.700154185295105,0.7001541256904602,-5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S004,S004-Q022,1e8809d9-9426-51b9-9e17-039093174440,S004-Q018,5,5,0,0.6944718956947327,0.6944717764854431,-1.1920928955078125e-07
Fresh re-encoded Production vs stored Production,S004,S004-Q026,7567fc91-4210-59bc-ac74-0cc3060edc83,S004-Q014,20,20,0,0.7142355442047119,0.7142356634140015,1.1920928955078125e-07
Fresh re-encoded Production vs stored Production,S004,S004-Q026,fadb48cb-a45f-5f46-8f39-e18bd7dff4f1,S004-Q019,9,9,0,0.7604069709777832,0.760407030582428,5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S004,S004-Q028,f642437d-2d3c-5b95-a7f6-29f2e68c0a13,S004-Q022,6,6,0,0.8024743795394897,0.8024743795394897,0.0
Fresh re-encoded Production vs stored Production,S004,S004-Q033,73b2fb55-c036-52ca-842e-cc784d317c61,S004-Q023,11,11,0,0.6472818851470947,0.64728182554245,-5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S004,S004-Q033,dad4c589-bd44-5d61-917f-9435b971db4d,S004-Q029,19,19,0,0.6189760565757751,0.6189761161804199,5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S004,S004-Q035,dad4c589-bd44-5d61-917f-9435b971db4d,S004-Q029,5,5,0,0.5476755499839783,0.547675609588623,5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S004,S004-Q039,c022f180-c519-52a7-9c70-3f15928609b5,S004-Q027,5,5,0,0.5342302918434143,0.5342302918434143,0.0
Fresh re-encoded Production vs stored Production,S004,S004-Q039,594016a4-b321-5143-a8c6-3923fed20111,S004-Q032,21,21,0,0.4840504825115204,0.484050452709198,-2.9802322387695312e-08
Fresh re-encoded Production vs stored Production,S004,S004-Q042,c61777d3-f94f-5655-9b6b-9d6cdc28c303,S004-Q036,8,8,0,0.4934537708759308,0.4934537410736084,-2.9802322387695312e-08
Fresh re-encoded Production vs stored Production,S004,S004-Q044,094486b7-1e86-5360-8005-66c6886152c2,S004-Q034,40,40,0,0.28102946281433105,0.2810294032096863,-5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S004,S004-Q044,682aecdf-197a-5dc6-b88d-886b08ffb500,S004-Q040,14,14,0,0.36668771505355835,0.3666878044605255,8.940696716308594e-08
Fresh re-encoded Production vs stored Production,S004,S004-Q049,08c5243c-c754-5bb1-b020-dfbf21f542d7,S004-Q043,38,38,0,0.4834826588630676,0.4834827780723572,1.1920928955078125e-07
Fresh re-encoded Production vs stored Production,S004,S004-Q052,682aecdf-197a-5dc6-b88d-886b08ffb500,S004-Q040,12,12,0,0.6159033179283142,0.6159032583236694,-5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S004,S004-Q052,b229284b-6a2b-5cfb-a8c8-0ccc1bd72603,S004-Q045,38,38,0,0.5637668371200562,0.5637668371200562,0.0
Fresh re-encoded Production vs stored Production,S004,S004-Q055,b229284b-6a2b-5cfb-a8c8-0ccc1bd72603,S004-Q045,49,49,0,0.46873435378074646,0.46873435378074646,0.0
Fresh re-encoded Production vs stored Production,S004,S004-Q055,90248870-b2cb-59d2-a707-79d09f366d8a,S004-Q051,43,43,0,0.48429518938064575,0.48429518938064575,0.0
Fresh re-encoded Production vs stored Production,S004,S004-Q056,adc1eeb8-b0f8-5877-88cf-abdd23798b3a,S004-Q050,39,39,0,0.5155000686645508,0.5155000686645508,0.0
Fresh re-encoded Production vs stored Production,S004,S004-Q063,2c5547ce-bd04-536c-8b2d-e09ae5633e53,S004-Q057,2,2,0,0.5229606032371521,0.5229606032371521,0.0
Fresh re-encoded Production vs stored Production,S004,S004-Q065,ca05266e-320c-5081-9d2d-f7c8689c58a9,S004-Q053,20,20,0,0.4201849699020386,0.42018499970436096,2.9802322387695312e-08
Fresh re-encoded Production vs stored Production,S004,S004-Q065,28de896e-9356-58a4-a8c5-c3efe7770f57,S004-Q058,6,6,0,0.44664403796195984,0.44664403796195984,0.0
Fresh re-encoded Production vs stored Production,S004,S004-Q066,52990abe-a81c-5937-b506-8a88315cc3c0,S004-Q056,12,12,0,0.3909291923046112,0.39092910289764404,-8.940696716308594e-08
Fresh re-encoded Production vs stored Production,S004,S004-Q066,57ef23a9-5ba4-568c-9cc1-4c5e9a47ec7a,S004-Q062,42,42,0,0.33652129769325256,0.33652135729789734,5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S004,S004-Q070,2e530daf-4b7a-5b20-9fe7-9c23daee4af6,S004-Q064,32,32,0,0.43173936009407043,0.43173947930336,1.1920928955078125e-07
Fresh re-encoded Production vs stored Production,S005,S005-Q007,73dd18d4-5dac-5f27-ac96-83de10de4633,S005-Q001,2,2,0,0.4711209535598755,0.47112101316452026,5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S005,S005-Q011,73dd18d4-5dac-5f27-ac96-83de10de4633,S005-Q001,7,7,0,0.4023247957229614,0.40232476592063904,-2.9802322387695312e-08
Fresh re-encoded Production vs stored Production,S005,S005-Q011,9c806b54-004f-57bf-8755-c4a0eebd929e,S005-Q007,2,2,0,0.4531308710575104,0.4531308114528656,-5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S005,S005-Q013,73dd18d4-5dac-5f27-ac96-83de10de4633,S005-Q001,9,9,0,0.41829434037208557,0.4182943105697632,-2.9802322387695312e-08
Fresh re-encoded Production vs stored Production,S005,S005-Q013,6e436632-8d73-58b8-a746-7cbc36ffe10f,S005-Q006,1,1,0,0.5017253160476685,0.5017253160476685,0.0
Fresh re-encoded Production vs stored Production,S005,S005-Q014,c64751d6-21c8-5c09-87da-48f940293661,S005-Q008,3,3,0,0.4594978094100952,0.45949774980545044,-5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S005,S005-Q021,5095d8f5-e975-5011-976e-e587c31560f2,S005-Q015,11,11,0,0.5081462264060974,0.5081462264060974,0.0
Fresh re-encoded Production vs stored Production,S005,S005-Q022,bcb24496-086a-528b-a09e-86bae79fa560,S005-Q012,1,1,0,0.6334472894668579,0.6334471702575684,-1.1920928955078125e-07
Fresh re-encoded Production vs stored Production,S005,S005-Q022,c16509f9-dd00-5e11-9acf-ecc8f08ad424,S005-Q018,16,16,0,0.5099823474884033,0.5099824070930481,5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S005,S005-Q026,87d6b0ff-8b24-5176-ba24-dbc110c6e1d5,S005-Q014,4,4,0,0.6175693273544312,0.6175693273544312,0.0
Fresh re-encoded Production vs stored Production,S005,S005-Q026,daf8b285-37ac-5e07-a640-74fc9322fe21,S005-Q019,17,17,0,0.5549681186676025,0.5549681186676025,0.0
Fresh re-encoded Production vs stored Production,S005,S005-Q028,102b7fa7-9564-5e73-98e7-41fde776fa99,S005-Q022,7,7,0,0.5747470259666443,0.5747469663619995,-5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S005,S005-Q033,407824ab-fd2c-5a7b-ac60-4e9d2ed5311e,S005-Q023,6,6,0,0.5896957516670227,0.5896956920623779,-5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S005,S005-Q033,52954b6d-4823-5e0a-955d-8a3b24df0a30,S005-Q029,2,2,0,0.6193385124206543,0.6193383932113647,-1.1920928955078125e-07
Fresh re-encoded Production vs stored Production,S005,S005-Q035,52954b6d-4823-5e0a-955d-8a3b24df0a30,S005-Q029,18,18,0,0.5682905912399292,0.5682905316352844,-5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S005,S005-Q039,e0f6fcfc-3a3a-5dbe-8aa0-d690b2179326,S005-Q027,32,32,0,0.3987696170806885,0.3987695574760437,-5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S005,S005-Q039,a9136ff5-7fca-58fe-8907-08b361042647,S005-Q032,1,1,0,0.5428324937820435,0.5428323149681091,-1.7881393432617188e-07
