session_id,query_id,add_variant,gold_page_id,gold_source_turn_id,nearest_nongold_page_id,nearest_nongold_source_turn_id,gold_nearest_nongold_cosine
S001,S001-Q039,Old,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,S001-Q027,dfaf0dfd-1943-54e1-99a3-0690c5a9cb38,S001-Q010,0.8888737211776304
S001,S001-Q042,Old,0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc,S001-Q036,55e7e466-3b1c-5014-85fc-2a14618ce254,S001-Q018,0.9072283394860918
S001,S001-Q044,Old,32b5d492-2df9-5ed9-ac46-caca5c87097c,S001-Q034,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,S001-Q008,0.9038534962155781
S001,S001-Q044,Old,4054aab2-0aa7-5019-b341-077265511add,S001-Q040,8322bc48-f2e3-5603-ae53-97917cf35a39,S001-Q004,0.9413272009263967
S001,S001-Q049,Old,de592e81-e050-536b-8909-32866c85f6c2,S001-Q043,9b4b60a1-f0f9-5368-b4ce-b441752321bb,S001-Q006,0.9199809692028018
S002,S002-Q007,Old,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,ceb187fe-1602-54a0-9ed7-224c7816f53e,S002-Q002,0.9139625338888355
S002,S002-Q011,Old,03c3981b-3b09-56ca-a545-043c8ff0d240,S002-Q007,a6c0000c-f234-59a1-b6e5-1283680d9b77,S002-Q006,0.8618273241969704
S002,S002-Q011,Old,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,ceb187fe-1602-54a0-9ed7-224c7816f53e,S002-Q002,0.9139625338888355
S002,S002-Q013,Old,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,ceb187fe-1602-54a0-9ed7-224c7816f53e,S002-Q002,0.9139625338888355
S002,S002-Q013,Old,a6c0000c-f234-59a1-b6e5-1283680d9b77,S002-Q006,ceb187fe-1602-54a0-9ed7-224c7816f53e,S002-Q002,0.9049145739096487
S002,S002-Q014,Old,37d568b0-90c6-5481-b7d9-e0101fd95e52,S002-Q008,03c3981b-3b09-56ca-a545-043c8ff0d240,S002-Q007,0.8602263024549485
S002,S002-Q021,Old,691ce2a8-c4c3-51f3-8cb7-32f42cdee99e,S002-Q015,8abb5364-9164-5a46-826a-a0fde69d88a8,S002-Q016,0.9541438146538161
S002,S002-Q022,Old,4d8b4bb3-4a1f-538c-af07-cc0ce19ea796,S002-Q012,6e877c55-d5b4-5992-9e95-5c482212a7c9,S002-Q011,0.9449185141977783
S002,S002-Q022,Old,b304ab57-b911-5070-88ba-fca4f39a37e8,S002-Q018,6e877c55-d5b4-5992-9e95-5c482212a7c9,S002-Q011,0.9173676056286072
S002,S002-Q026,Old,00ce1b35-d357-53e0-a42e-a8f97d4a07f0,S002-Q014,6e877c55-d5b4-5992-9e95-5c482212a7c9,S002-Q011,0.9165519826922444
S002,S002-Q026,Old,e64218f2-62ce-555a-ba53-f3fd1214e0f7,S002-Q019,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,0.8831202127861494
S002,S002-Q028,Old,42756865-0f8f-5dcc-a050-6ecec5b828ce,S002-Q022,79860bb6-6010-5ca0-ac81-f4327e2bff44,S002-Q023,0.9293878060293341
S002,S002-Q033,Old,79860bb6-6010-5ca0-ac81-f4327e2bff44,S002-Q023,6e877c55-d5b4-5992-9e95-5c482212a7c9,S002-Q011,0.9329440814641148
S002,S002-Q033,Old,893b3ae9-1f94-5436-8c6d-54e200693867,S002-Q029,0c762a14-8087-5bb0-a22d-c86667c2dabe,S002-Q017,0.9288575668756394
S002,S002-Q035,Old,893b3ae9-1f94-5436-8c6d-54e200693867,S002-Q029,0c762a14-8087-5bb0-a22d-c86667c2dabe,S002-Q017,0.9288575668756394
S002,S002-Q039,Old,0dd982c7-f7b2-5ac0-8c16-56d44bbe4330,S002-Q027,53002bea-e9ad-5d96-83a5-03522979913a,S002-Q035,0.9213831161082188
S002,S002-Q039,Old,78a623b8-bff9-5b45-b990-24d74e714f9b,S002-Q032,566e5d08-995e-5a35-9566-2770b6024b5a,S002-Q033,0.8977727722999865
S002,S002-Q042,Old,5c22c135-b86e-56a3-83eb-7484d1183dca,S002-Q036,9f71d35e-bf23-5ea1-9ed6-f9fb77b5ea80,S002-Q020,0.9034737811323091
S002,S002-Q044,Old,647fce0c-6320-5a98-819d-50dff3300582,S002-Q040,6e877c55-d5b4-5992-9e95-5c482212a7c9,S002-Q011,0.932468167818575
S002,S002-Q044,Old,57b8caa3-b46e-50f2-a65a-bb244543b1c3,S002-Q034,03c3981b-3b09-56ca-a545-043c8ff0d240,S002-Q007,0.9253165093736773
S002,S002-Q049,Old,57600f18-283a-5f61-bf9e-7a48d4f8d3c5,S002-Q043,50ece86f-0b7d-5180-8833-108f08b16aa0,S002-Q025,0.9214130038443482
S002,S002-Q052,Old,647fce0c-6320-5a98-819d-50dff3300582,S002-Q040,6e877c55-d5b4-5992-9e95-5c482212a7c9,S002-Q011,0.932468167818575
S002,S002-Q052,Old,d728a292-3080-5624-89ff-d8e05d09e8ca,S002-Q045,5c22c135-b86e-56a3-83eb-7484d1183dca,S002-Q036,0.8917121707173994
S002,S002-Q055,Old,2e583969-bc65-5074-a7fe-0424438cd092,S002-Q051,ceb187fe-1602-54a0-9ed7-224c7816f53e,S002-Q002,0.9125444680282825
S002,S002-Q055,Old,d728a292-3080-5624-89ff-d8e05d09e8ca,S002-Q045,5c22c135-b86e-56a3-83eb-7484d1183dca,S002-Q036,0.8917121707173994
S002,S002-Q056,Old,e40ec65e-2907-515a-b1dd-3bec39109106,S002-Q050,6e877c55-d5b4-5992-9e95-5c482212a7c9,S002-Q011,0.9682653370119246
S002,S002-Q063,Old,3549589e-05fe-5631-9385-5379f8dd4396,S002-Q057,0c762a14-8087-5bb0-a22d-c86667c2dabe,S002-Q017,0.9447803235148048
S002,S002-Q065,Old,a2f4bee5-f836-545e-8197-d79f3f2d284c,S002-Q053,0c762a14-8087-5bb0-a22d-c86667c2dabe,S002-Q017,0.9325610826682563
S002,S002-Q065,Old,7cf76f8c-3ecc-5aa0-8867-9b1934ccb270,S002-Q058,3549589e-05fe-5631-9385-5379f8dd4396,S002-Q057,0.9131194509323803
S002,S002-Q066,Old,323c7c4f-02b6-5801-9c72-3623423fb3c6,S002-Q062,9f1aca79-05a4-5e05-95d1-2323f4c68ed6,S002-Q026,0.8866457909296912
S002,S002-Q066,Old,166328f1-a89c-5b18-8a53-02ac909e0849,S002-Q056,0c762a14-8087-5bb0-a22d-c86667c2dabe,S002-Q017,0.8673319849125397
S002,S002-Q070,Old,95dce1c8-76eb-5c10-b622-b77e03c00526,S002-Q064,9f71d35e-bf23-5ea1-9ed6-f9fb77b5ea80,S002-Q020,0.9344753332125233
S003,S003-Q007,Old,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,3039ff9a-80a9-534e-bac6-7b97cc24a926,S003-Q002,0.9486364519503114
S003,S003-Q011,Old,aacabfac-ac8e-5c81-8f0b-9adc0eeeef33,S003-Q007,3039ff9a-80a9-534e-bac6-7b97cc24a926,S003-Q002,0.911879105473563
S003,S003-Q011,Old,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,3039ff9a-80a9-534e-bac6-7b97cc24a926,S003-Q002,0.9486364519503114
S003,S003-Q013,Old,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,3039ff9a-80a9-534e-bac6-7b97cc24a926,S003-Q002,0.9486364519503114
S003,S003-Q013,Old,914dcda3-55d6-504a-9159-f6f54938f31f,S003-Q006,aacabfac-ac8e-5c81-8f0b-9adc0eeeef33,S003-Q007,0.9063046002553848
S003,S003-Q014,Old,22322d48-4d17-5d2e-8760-ab1acaeb9f0a,S003-Q008,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,0.8972195436824082
S003,S003-Q021,Old,1b59ffe6-5fba-511e-b39a-6529e998d6ca,S003-Q015,ff050426-ccc1-5faa-8b70-2b3eedf5209b,S003-Q004,0.9004239972058462
S003,S003-Q022,Old,bd6d22da-10ea-5784-b308-d3f5d1f57469,S003-Q018,3446dbc5-5d91-5f49-a1fe-1d68979506a4,S003-Q011,0.8989335990241117
S003,S003-Q022,Old,4b59a558-4eb8-5c30-a40b-2e1cc9df12a2,S003-Q012,ff050426-ccc1-5faa-8b70-2b3eedf5209b,S003-Q004,0.9099271683838792
S003,S003-Q026,Old,bd0dc9f1-4c0c-5c9f-b9c0-5a7b5051b7f2,S003-Q019,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,0.9577603153037516
S003,S003-Q026,Old,cee54426-e3ab-5ae2-aaab-81de729e05f3,S003-Q014,ff050426-ccc1-5faa-8b70-2b3eedf5209b,S003-Q004,0.9336233061335307
S003,S003-Q028,Old,9ca9c523-e56d-58df-aa6b-c54a80e3dbb5,S003-Q022,4b59a558-4eb8-5c30-a40b-2e1cc9df12a2,S003-Q012,0.9249529690953163
S003,S003-Q033,Old,c96d749e-7c02-5289-ab48-fd03586dd5b1,S003-Q023,78d45bb9-9e17-532c-ac94-a233f3897490,S003-Q021,0.939055654389096
S003,S003-Q033,Old,1b535a84-9ae4-50ee-bbda-1d7ba186183e,S003-Q029,4ed05884-3478-5a91-a63f-3067fd41956d,S003-Q027,0.9137157289021766
S003,S003-Q035,Old,1b535a84-9ae4-50ee-bbda-1d7ba186183e,S003-Q029,4ed05884-3478-5a91-a63f-3067fd41956d,S003-Q027,0.9137157289021766
S003,S003-Q039,Old,c94687e6-820c-5c03-a774-40d03e0f70be,S003-Q032,ff050426-ccc1-5faa-8b70-2b3eedf5209b,S003-Q004,0.9348222134364179
S003,S003-Q039,Old,4ed05884-3478-5a91-a63f-3067fd41956d,S003-Q027,6acea1bf-012f-53f4-bac8-545da6e86a3e,S003-Q009,0.9367206925055896
S003,S003-Q042,Old,82bf5c46-13d0-5fb7-9826-308047a68fc7,S003-Q036,fe6436d0-9e94-53f7-ae4c-13a3d82b10ba,S003-Q030,0.8956091740438799
S003,S003-Q044,Old,ae9f0678-a87f-5377-8edd-5fbd8ff4b4fa,S003-Q034,e8774fb1-5e27-5d8f-8399-9a697a3030b4,S003-Q035,0.9478863603096069
S003,S003-Q044,Old,bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c,S003-Q040,8319fad1-425d-545c-8ef3-4df0fdc3b11d,S003-Q020,0.934284626109631
S003,S003-Q049,Old,2316a391-e779-530b-ac2f-055182347d32,S003-Q043,8319fad1-425d-545c-8ef3-4df0fdc3b11d,S003-Q020,0.9496690627316918
S003,S003-Q052,Old,cc3a667e-ea49-5490-bb5c-5a4d9db97e6f,S003-Q045,3039ff9a-80a9-534e-bac6-7b97cc24a926,S003-Q002,0.9402082503356153
S003,S003-Q052,Old,bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c,S003-Q040,8319fad1-425d-545c-8ef3-4df0fdc3b11d,S003-Q020,0.934284626109631
S003,S003-Q055,Old,cc3a667e-ea49-5490-bb5c-5a4d9db97e6f,S003-Q045,3039ff9a-80a9-534e-bac6-7b97cc24a926,S003-Q002,0.9402082503356153
S003,S003-Q055,Old,9409734e-8235-5011-8c1a-60ed15ad9024,S003-Q051,4ed05884-3478-5a91-a63f-3067fd41956d,S003-Q027,0.931867085001771
S003,S003-Q056,Old,59d896c1-0734-53cf-821a-5728dd5fe548,S003-Q050,cee54426-e3ab-5ae2-aaab-81de729e05f3,S003-Q014,0.9549821801628803
S003,S003-Q063,Old,83b39f0f-a1ea-5e54-98aa-d61af4aee5f9,S003-Q057,de8457cd-4b07-5775-9f5e-95f5d65583a0,S003-Q039,0.9260269119456314
S003,S003-Q065,Old,ad470150-cd72-5d94-9d96-467573c4b92b,S003-Q058,52504bc2-69f1-5f7b-a827-97850ce991f6,S003-Q049,0.944740013052019
S003,S003-Q065,Old,92bbf5d0-665d-52fa-92dd-d73231b6a2f4,S003-Q053,e8774fb1-5e27-5d8f-8399-9a697a3030b4,S003-Q035,0.9331248066501066
S003,S003-Q066,Old,3e1cec0a-77e2-5463-865e-1f49b78e966c,S003-Q056,8319fad1-425d-545c-8ef3-4df0fdc3b11d,S003-Q020,0.9400406179459291
S003,S003-Q066,Old,e6b075df-0710-53c0-a850-a6bc715553b6,S003-Q062,78d45bb9-9e17-532c-ac94-a233f3897490,S003-Q021,0.9286311307340724
S003,S003-Q070,Old,6e93a473-ae4a-524c-aee1-43aafd7f6bb0,S003-Q064,8b5ae761-3f22-557a-aa9a-f3d5a03b0951,S003-Q046,0.9667800759784774
S003,S003-Q077,Old,2fdaac5c-103c-5100-8480-7d15511a3658,S003-Q073,bd0dc9f1-4c0c-5c9f-b9c0-5a7b5051b7f2,S003-Q019,0.9579813868990569
S003,S003-Q077,Old,96af7f08-1678-5164-9e1e-935a577a7d1b,S003-Q071,7a01132c-40cf-51c3-9d47-811e696bd29c,S003-Q065,0.9472369100153195
S003,S003-Q077,Old,21f9ae05-f6a0-5cc5-af10-142d014dcf11,S003-Q067,38c8623d-42c1-5db8-ab6e-1f29fd9a82e3,S003-Q047,0.948253150945234
S003,S003-Q078,Old,96af7f08-1678-5164-9e1e-935a577a7d1b,S003-Q071,7a01132c-40cf-51c3-9d47-811e696bd29c,S003-Q065,0.9472369100153195
S003,S003-Q078,Old,70584af0-da6d-5ee7-9e7c-ad3f962ef545,S003-Q066,b00efb33-3321-5736-b5b5-c41450d53202,S003-Q048,0.8847916780930428
S003,S003-Q084,Old,15caa01c-5d97-5da1-93ca-bbb8a8cf5f22,S003-Q078,3039ff9a-80a9-534e-bac6-7b97cc24a926,S003-Q002,0.9554412859793252
S003,S003-Q088,Old,15caa01c-5d97-5da1-93ca-bbb8a8cf5f22,S003-Q078,3039ff9a-80a9-534e-bac6-7b97cc24a926,S003-Q002,0.9554412859793252
S003,S003-Q088,Old,dc75d4a6-dbec-512b-bed7-4048466382c6,S003-Q084,b304bcc8-8a96-5f89-a945-3cef8078b106,S003-Q042,0.9312585852860976
S003,S003-Q091,Old,ff75fe78-c1af-5b7a-a243-9648b6132a06,S003-Q085,bd0dc9f1-4c0c-5c9f-b9c0-5a7b5051b7f2,S003-Q019,0.9293310964799039
S003,S003-Q091,Old,68d070f4-4242-579d-b5a8-83f3dc6283b3,S003-Q079,4b7d4f56-79e6-586a-8a09-c70fb207dda9,S003-Q070,0.9513383972384588
S003,S003-Q091,Old,dc75d4a6-dbec-512b-bed7-4048466382c6,S003-Q084,b304bcc8-8a96-5f89-a945-3cef8078b106,S003-Q042,0.9312585852860976
S004,S004-Q007,Old,9de4c8e1-1f2d-56af-8e3f-eaed84f7c238,S004-Q001,f3e1812a-c8a3-560c-8424-84d252ae452f,S004-Q002,0.9384940533281256
S004,S004-Q011,Old,9de4c8e1-1f2d-56af-8e3f-eaed84f7c238,S004-Q001,f3e1812a-c8a3-560c-8424-84d252ae452f,S004-Q002,0.9384940533281256
S004,S004-Q011,Old,75c0a8f8-fa8f-5fdb-89db-f1e0f0f43bb4,S004-Q007,d876eb51-66ba-5437-955a-25c3f405ef2f,S004-Q006,0.878518917498106
S004,S004-Q013,Old,9de4c8e1-1f2d-56af-8e3f-eaed84f7c238,S004-Q001,f3e1812a-c8a3-560c-8424-84d252ae452f,S004-Q002,0.9384940533281256
S004,S004-Q013,Old,d876eb51-66ba-5437-955a-25c3f405ef2f,S004-Q006,e69ec046-4916-5e0b-8917-8f3fc9d8b112,S004-Q004,0.9403172460493626
S004,S004-Q014,Old,a60bbf7a-8108-58fc-8b4a-1356764282aa,S004-Q008,d876eb51-66ba-5437-955a-25c3f405ef2f,S004-Q006,0.9313979824272677
S004,S004-Q021,Old,112af49e-d51f-599c-ad67-5cc18432f1a8,S004-Q015,d876eb51-66ba-5437-955a-25c3f405ef2f,S004-Q006,0.9334289482286554
S004,S004-Q022,Old,1404aa4a-3c7a-565e-8e67-9f834683b3b2,S004-Q012,0cd91b6e-376f-57c4-8232-cdabb36c695f,S004-Q011,0.9146281366397663
S004,S004-Q022,Old,1e8809d9-9426-51b9-9e17-039093174440,S004-Q018,e45c4d60-1608-5524-b2df-3c2b4e8007c5,S004-Q003,0.9206346023608943
S004,S004-Q026,Old,7567fc91-4210-59bc-ac74-0cc3060edc83,S004-Q014,4d69ebe7-67b0-50e3-b528-7136c65b206a,S004-Q013,0.922393897068737
S004,S004-Q026,Old,fadb48cb-a45f-5f46-8f39-e18bd7dff4f1,S004-Q019,b90ba0e9-ee61-5bae-a71f-8eae2f3ebcb8,S004-Q009,0.9205984308857829
S004,S004-Q028,Old,f642437d-2d3c-5b95-a7f6-29f2e68c0a13,S004-Q022,e69ec046-4916-5e0b-8917-8f3fc9d8b112,S004-Q004,0.921174693092346
S004,S004-Q033,Old,73b2fb55-c036-52ca-842e-cc784d317c61,S004-Q023,9491736f-87d9-560c-86bf-a73959049fab,S004-Q021,0.9039968304166096
S004,S004-Q033,Old,dad4c589-bd44-5d61-917f-9435b971db4d,S004-Q029,e45c4d60-1608-5524-b2df-3c2b4e8007c5,S004-Q003,0.9225005516164134
S004,S004-Q035,Old,dad4c589-bd44-5d61-917f-9435b971db4d,S004-Q029,e7289295-5eb7-5200-bd81-84fad17ad553,S004-Q030,0.9278178797018117
S004,S004-Q039,Old,c022f180-c519-52a7-9c70-3f15928609b5,S004-Q027,a60bbf7a-8108-58fc-8b4a-1356764282aa,S004-Q008,0.9139605274000566
S004,S004-Q039,Old,594016a4-b321-5143-a8c6-3923fed20111,S004-Q032,e69ec046-4916-5e0b-8917-8f3fc9d8b112,S004-Q004,0.946819516024866
S004,S004-Q042,Old,c61777d3-f94f-5655-9b6b-9d6cdc28c303,S004-Q036,d876eb51-66ba-5437-955a-25c3f405ef2f,S004-Q006,0.9375287980496408
S004,S004-Q044,Old,682aecdf-197a-5dc6-b88d-886b08ffb500,S004-Q040,75337c00-099c-56d7-ad2c-bd3be6ef4b11,S004-Q010,0.942296213697328
S004,S004-Q044,Old,094486b7-1e86-5360-8005-66c6886152c2,S004-Q034,8c9b465d-a424-5d6b-af1b-4518bf5982de,S004-Q033,0.9549732193598005
S004,S004-Q049,Old,08c5243c-c754-5bb1-b020-dfbf21f542d7,S004-Q043,b229284b-6a2b-5cfb-a8c8-0ccc1bd72603,S004-Q045,0.9528043999904829
S004,S004-Q052,Old,682aecdf-197a-5dc6-b88d-886b08ffb500,S004-Q040,094486b7-1e86-5360-8005-66c6886152c2,S004-Q034,0.9436201877773065
S004,S004-Q052,Old,b229284b-6a2b-5cfb-a8c8-0ccc1bd72603,S004-Q045,08c5243c-c754-5bb1-b020-dfbf21f542d7,S004-Q043,0.9528043999904829
S004,S004-Q055,Old,90248870-b2cb-59d2-a707-79d09f366d8a,S004-Q051,adc1eeb8-b0f8-5877-88cf-abdd23798b3a,S004-Q050,0.9599457554801556
S004,S004-Q055,Old,b229284b-6a2b-5cfb-a8c8-0ccc1bd72603,S004-Q045,08c5243c-c754-5bb1-b020-dfbf21f542d7,S004-Q043,0.9528043999904829
S004,S004-Q056,Old,adc1eeb8-b0f8-5877-88cf-abdd23798b3a,S004-Q050,e7289295-5eb7-5200-bd81-84fad17ad553,S004-Q030,0.9646679207005102
S004,S004-Q063,Old,2c5547ce-bd04-536c-8b2d-e09ae5633e53,S004-Q057,7a1cdd42-73f1-58ab-9996-cc98d575e415,S004-Q039,0.8869557454311542
S004,S004-Q065,Old,28de896e-9356-58a4-a8c5-c3efe7770f57,S004-Q058,fadb48cb-a45f-5f46-8f39-e18bd7dff4f1,S004-Q019,0.9202863102599365
S004,S004-Q065,Old,ca05266e-320c-5081-9d2d-f7c8689c58a9,S004-Q053,adc1eeb8-b0f8-5877-88cf-abdd23798b3a,S004-Q050,0.9535701194837077
S004,S004-Q066,Old,52990abe-a81c-5937-b506-8a88315cc3c0,S004-Q056,adc1eeb8-b0f8-5877-88cf-abdd23798b3a,S004-Q050,0.9533218509192284
S004,S004-Q066,Old,57ef23a9-5ba4-568c-9cc1-4c5e9a47ec7a,S004-Q062,adc1eeb8-b0f8-5877-88cf-abdd23798b3a,S004-Q050,0.9620136903653044
S004,S004-Q070,Old,2e530daf-4b7a-5b20-9fe7-9c23daee4af6,S004-Q064,32502b7b-9913-5e52-ba96-42d70a980a75,S004-Q046,0.9444085923820481
S005,S005-Q007,Old,73dd18d4-5dac-5f27-ac96-83de10de4633,S005-Q001,c3bd2186-8e7b-582d-a301-28889918dae5,S005-Q002,0.9348740235436465
S005,S005-Q011,Old,9c806b54-004f-57bf-8755-c4a0eebd929e,S005-Q007,6e436632-8d73-58b8-a746-7cbc36ffe10f,S005-Q006,0.8344126659560368
S005,S005-Q011,Old,73dd18d4-5dac-5f27-ac96-83de10de4633,S005-Q001,c3bd2186-8e7b-582d-a301-28889918dae5,S005-Q002,0.9348740235436465
S005,S005-Q013,Old,6e436632-8d73-58b8-a746-7cbc36ffe10f,S005-Q006,c3bd2186-8e7b-582d-a301-28889918dae5,S005-Q002,0.8934869501869758
S005,S005-Q013,Old,73dd18d4-5dac-5f27-ac96-83de10de4633,S005-Q001,c3bd2186-8e7b-582d-a301-28889918dae5,S005-Q002,0.9348740235436465
S005,S005-Q014,Old,c64751d6-21c8-5c09-87da-48f940293661,S005-Q008,6e436632-8d73-58b8-a746-7cbc36ffe10f,S005-Q006,0.8934200408886942
S005,S005-Q021,Old,5095d8f5-e975-5011-976e-e587c31560f2,S005-Q015,c3bd2186-8e7b-582d-a301-28889918dae5,S005-Q002,0.9272120480139415
S005,S005-Q022,Old,c16509f9-dd00-5e11-9acf-ecc8f08ad424,S005-Q018,c3bd2186-8e7b-582d-a301-28889918dae5,S005-Q002,0.9237072626733324
S005,S005-Q022,Old,bcb24496-086a-528b-a09e-86bae79fa560,S005-Q012,7deccc74-43c7-57e9-a025-7c777ca76e41,S005-Q013,0.9179407084277288
S005,S005-Q026,Old,daf8b285-37ac-5e07-a640-74fc9322fe21,S005-Q019,c16509f9-dd00-5e11-9acf-ecc8f08ad424,S005-Q018,0.8782992999276762
S005,S005-Q026,Old,87d6b0ff-8b24-5176-ba24-dbc110c6e1d5,S005-Q014,5095d8f5-e975-5011-976e-e587c31560f2,S005-Q015,0.9173259344810472
S005,S005-Q028,Old,102b7fa7-9564-5e73-98e7-41fde776fa99,S005-Q022,41c34f0d-b300-523a-8d73-249c1590adcb,S005-Q021,0.9323239453177347
S005,S005-Q033,Old,407824ab-fd2c-5a7b-ac60-4e9d2ed5311e,S005-Q023,c3bd2186-8e7b-582d-a301-28889918dae5,S005-Q002,0.9222110069838815
S005,S005-Q033,Old,52954b6d-4823-5e0a-955d-8a3b24df0a30,S005-Q029,fc11c23b-bc92-5e76-ab30-3e7331311d80,S005-Q028,0.9112486589289852
S005,S005-Q035,Old,52954b6d-4823-5e0a-955d-8a3b24df0a30,S005-Q029,fc11c23b-bc92-5e76-ab30-3e7331311d80,S005-Q028,0.9112486589289852
S005,S005-Q039,Old,e0f6fcfc-3a3a-5dbe-8aa0-d690b2179326,S005-Q027,c3bd2186-8e7b-582d-a301-28889918dae5,S005-Q002,0.8972324261916049
S005,S005-Q039,Old,a9136ff5-7fca-58fe-8907-08b361042647,S005-Q032,3dbf1d5d-2b5b-5024-aede-0c998a2d60d1,S005-Q033,0.9095682198791117
S005,S005-Q042,Old,19b9c9f1-754d-5322-831d-a2b5bbc632f9,S005-Q036,c64751d6-21c8-5c09-87da-48f940293661,S005-Q008,0.8806514462374496
S005,S005-Q044,Old,53a0c2bd-e2e0-5a10-8976-c6a159c1cd78,S005-Q034,732883c4-52c5-5873-9860-1dbf08bbbe86,S005-Q031,0.8869454098336157
S005,S005-Q044,Old,009ec1d2-83f6-5755-bd7a-e5a92eda1890,S005-Q040,7deccc74-43c7-57e9-a025-7c777ca76e41,S005-Q013,0.936663871981023
S005,S005-Q049,Old,d0b649b9-d683-5ad9-a5a6-64c75b0bc996,S005-Q043,9dd65141-00b2-5e5e-9c04-95ba6d5fd817,S005-Q025,0.8627385249656522
S005,S005-Q052,Old,c50cce28-4618-514d-bc83-20a57b6f5562,S005-Q045,bcb24496-086a-528b-a09e-86bae79fa560,S005-Q012,0.9073156223475856
S005,S005-Q052,Old,009ec1d2-83f6-5755-bd7a-e5a92eda1890,S005-Q040,7deccc74-43c7-57e9-a025-7c777ca76e41,S005-Q013,0.936663871981023
S005,S005-Q055,Old,cc845b3c-bd6e-511e-8bf1-44f5e08cf54a,S005-Q051,5095d8f5-e975-5011-976e-e587c31560f2,S005-Q015,0.9024324470617437
S005,S005-Q055,Old,c50cce28-4618-514d-bc83-20a57b6f5562,S005-Q045,bcb24496-086a-528b-a09e-86bae79fa560,S005-Q012,0.9073156223475856
