session_id,source_turn_id,user_indicator_set,assistant_indicator_set,Old_summary_indicator_set,Old_summary_indicator_count,A1_summary_indicator_set,A1_summary_indicator_count,A2_summary_indicator_set,A2_summary_indicator_count,A3_summary_indicator_set,A3_summary_indicator_count
S001,S001-Q011,"[""营业收入""]","[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""归母股东权益""]",3,"[""营业收入"", ""归母净利润"", ""归母股东权益""]",3,"[""营业收入"", ""归母净利润"", ""归母股东权益""]",3,"[""营业收入"", ""归母股东权益""]",2
S001,S001-Q012,"[""归母净利润""]","[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""归母净利润"", ""总资产""]",2,"[""营业收入"", ""归母净利润"", ""总资产""]",3,"[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2
S001,S001-Q013,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""总资产"", ""归母股东权益""]",5,"[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2
S001,S001-Q014,"[""扣非归母净利润""]","[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""总资产""]",4,"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""归母股东权益""]",4,"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""归母股东权益""]",4,"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""归母股东权益""]",4
S001,S001-Q015,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2
S001,S001-Q016,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]",6,"[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2
S001,S001-Q017,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2
S001,S001-Q018,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2
S001,S001-Q019,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2
S001,S001-Q020,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2
S001,S001-Q021,"[""经营活动现金流净额""]","[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]",5,"[""归母净利润"", ""经营活动现金流净额"", ""总资产""]",3,"[""归母净利润"", ""经营活动现金流净额"", ""总资产""]",3,"[""归母净利润"", ""经营活动现金流净额"", ""总资产""]",3
S001,S001-Q022,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2
S001,S001-Q023,"[""归母净利润""]","[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]",5,"[""营业收入"", ""归母净利润"", ""归母股东权益""]",3,"[""营业收入"", ""归母净利润"", ""经营活动现金流净额"", ""归母股东权益""]",4,"[""归母净利润""]",1
S001,S001-Q024,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2
S001,S001-Q025,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""归母净利润"", ""总资产""]",2,"[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""归母净利润"", ""经营活动现金流净额"", ""总资产""]",3
S001,S001-Q026,"[""总资产""]","[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""总资产"", ""归母股东权益""]",3,"[""营业收入"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""总资产"", ""归母股东权益""]",3,"[""营业收入"", ""总资产"", ""归母股东权益""]",3
S001,S001-Q027,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""经营活动现金流净额"", ""归母股东权益""]",3
S001,S001-Q028,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2
S001,S001-Q029,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]",5,"[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""经营活动现金流净额"", ""总资产""]",3
S001,S001-Q030,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2
S001,S001-Q031,"[""总资产""]","[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""总资产"", ""归母股东权益""]",3,"[""营业收入"", ""总资产"", ""归母股东权益""]",3,"[""营业收入"", ""总资产"", ""归母股东权益""]",3
S001,S001-Q032,"[""归母股东权益""]","[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""归母净利润"", ""总资产"", ""归母股东权益""]",3,"[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2
S001,S001-Q033,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2
S001,S001-Q034,"[""营业收入""]","[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""总资产"", ""归母股东权益""]",3,"[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2
S001,S001-Q035,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2
S001,S001-Q036,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2
S001,S001-Q037,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""归母净利润"", ""总资产""]",2,"[""营业收入"", ""归母净利润"", ""总资产""]",3,"[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2
S001,S001-Q038,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2
S001,S001-Q039,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2
S001,S001-Q040,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""归母净利润"", ""总资产""]",2,"[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""归母净利润"", ""总资产""]",2
S001,S001-Q041,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2
S001,S001-Q042,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2
S001,S001-Q043,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]",6,"[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2
S001,S001-Q044,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2
S001,S001-Q045,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]",6,"[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2
S001,S001-Q046,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2
S001,S001-Q047,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2
S002,S002-Q001,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4
S002,S002-Q002,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母净利润"", ""总资产""]",3,"[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母净利润"", ""经营活动现金流净额""]",3
S002,S002-Q003,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产""]",3,"[""营业收入"", ""归母净利润""]",2,"[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4
S002,S002-Q004,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]",5,"[""营业收入"", ""归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]",5,"[""营业收入"", ""归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]",5
S002,S002-Q005,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""总资产"", ""归母股东权益""]",2
S002,S002-Q006,"[""扣非归母净利润""]","[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""总资产""]",4,"[""营业收入"", ""归母净利润"", ""扣非归母净利润""]",3,"[""营业收入"", ""归母净利润"", ""扣非归母净利润""]",3,"[""营业收入"", ""归母净利润"", ""扣非归母净利润""]",3
S002,S002-Q007,"[""经营活动现金流净额""]","[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]",5,"[""营业收入"", ""归母净利润"", ""经营活动现金流净额""]",3,"[""营业收入"", ""归母净利润"", ""经营活动现金流净额""]",3,"[""营业收入"", ""归母净利润"", ""经营活动现金流净额""]",3
S002,S002-Q008,"[""总资产""]","[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]",6,"[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""总资产"", ""归母股东权益""]",3,"[""经营活动现金流净额"", ""总资产"", ""归母股东权益""]",3
S002,S002-Q009,"[""归母股东权益""]","[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""总资产"", ""归母股东权益""]",2,"[""归母净利润"", ""总资产"", ""归母股东权益""]",3,"[""总资产"", ""归母股东权益""]",2
S002,S002-Q010,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母净利润"", ""经营活动现金流净额""]",3
S002,S002-Q011,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母净利润""]",2,"[""营业收入"", ""归母净利润""]",2
S002,S002-Q012,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]",6,"[""总资产"", ""归母股东权益""]",2,"[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""总资产"", ""归母股东权益""]",2
S002,S002-Q013,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""总资产"", ""归母股东权益""]",2,"[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""总资产"", ""归母股东权益""]",2
S002,S002-Q014,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母净利润""]",2,"[""营业收入"", ""归母净利润""]",2,"[""营业收入"", ""归母净利润""]",2
S002,S002-Q015,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]",6,"[""营业收入"", ""归母净利润"", ""总资产""]",3,"[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母净利润"", ""经营活动现金流净额""]",3
S002,S002-Q016,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""总资产"", ""归母股东权益""]",2
S002,S002-Q017,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""总资产"", ""归母股东权益""]",2
S002,S002-Q018,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母净利润""]",2,"[""营业收入"", ""归母净利润""]",2,"[""营业收入"", ""归母净利润"", ""经营活动现金流净额""]",3
S002,S002-Q019,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润""]",2,"[""营业收入"", ""归母净利润""]",2,"[""营业收入"", ""归母净利润""]",2,"[""营业收入"", ""归母净利润""]",2
S002,S002-Q020,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""总资产"", ""归母股东权益""]",2
S002,S002-Q021,"[""营业收入""]","[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4
S002,S002-Q022,"[""归母净利润""]","[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润""]",2,"[""营业收入"", ""归母净利润"", ""总资产""]",3,"[""营业收入"", ""归母净利润""]",2,"[""营业收入"", ""归母净利润"", ""经营活动现金流净额""]",3
S002,S002-Q023,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润""]",2,"[""营业收入"", ""归母净利润""]",2,"[""营业收入"", ""归母净利润""]",2,"[""营业收入"", ""归母净利润""]",2
S002,S002-Q024,"[""扣非归母净利润""]","[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""总资产"", ""归母股东权益""]",5,"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""总资产"", ""归母股东权益""]",5,"[""归母净利润"", ""扣非归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""归母净利润"", ""扣非归母净利润"", ""总资产"", ""归母股东权益""]",4
