Config,comparison,session_id,query_id,gold_page_id,gold_source_turn_id,before_rank,after_rank,rank_improvement,before_score,after_score,score_difference,transition,dense_rank,hybrid_rank,dense_score,raw_bm25_score,normalized_bm25_score,hybrid_final_score
H0,H0 vs Dense,S001,S001-Q026,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,S001-Q019,12,9,3,0.544538140296936,0.3002211444194702,-0.24431699587746586,UNCHANGED,12,9,0.544538140296936,6.3468217849731445,0.055904148542004296,0.3002211444194702
H0,H0 vs Dense,S001,S001-Q028,44777fdf-abd5-5570-b0aa-8e3f1cb44000,S001-Q022,3,5,-2,0.4967461824417114,0.2564447880364079,-0.24030139440530351,UNCHANGED,3,5,0.4967461824417114,3.7800614833831787,0.01614339363110442,0.2564447880364079
H0,H0 vs Dense,S001,S001-Q033,d5c03971-3795-5256-a75f-b3921d61a92d,S001-Q023,2,3,-1,0.5816625952720642,0.30357452323064477,-0.27808807204141944,UNCHANGED,2,3,0.5816625952720642,4.712417125701904,0.025486451189225347,0.30357452323064477
H0,H0 vs Dense,S001,S001-Q033,b4497adc-7393-57c0-8917-ce3372fbd151,S001-Q029,24,26,-2,0.4725983738899231,0.23971447560870343,-0.23288389828121966,UNCHANGED,24,26,0.4725983738899231,2.041015863418579,0.006830577327483755,0.23971447560870343
H0,H0 vs Dense,S001,S001-Q035,b4497adc-7393-57c0-8917-ce3372fbd151,S001-Q029,23,23,0,0.39940428733825684,0.20118323836531557,-0.19822104897294127,UNCHANGED,23,23,0.39940428733825684,0.3622799217700958,0.0029621893923742998,0.20118323836531557
H0,H0 vs Dense,S001,S001-Q039,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,S001-Q027,1,3,-2,0.520713210105896,0.2823003430520248,-0.2384128670538712,UNCHANGED,1,3,0.520713210105896,5.8375067710876465,0.043887475998153534,0.2823003430520248
H0,H0 vs Dense,S001,S001-Q039,c107828c-a741-55f6-8e0c-446cfbdba215,S001-Q032,13,15,-2,0.4627559781074524,0.24043900450929806,-0.22231697359815433,UNCHANGED,13,15,0.4627559781074524,4.015322685241699,0.018122030911143706,0.24043900450929806
H0,H0 vs Dense,S001,S001-Q042,0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc,S001-Q036,7,14,-7,0.516326904296875,0.2594465772483704,-0.2568803270485046,UNCHANGED,7,14,0.516326904296875,0.07452007383108139,0.0025662501998657936,0.2594465772483704
H0,H0 vs Dense,S001,S001-Q044,32b5d492-2df9-5ed9-ac46-caca5c87097c,S001-Q034,4,9,-5,0.41738826036453247,0.21000061699764533,-0.20738764336688714,DEMOTED,4,9,0.41738826036453247,0.11070001870393753,0.0026129736307581868,0.21000061699764533
H0,H0 vs Dense,S001,S001-Q044,4054aab2-0aa7-5019-b341-077265511add,S001-Q040,6,11,-5,0.41101235151290894,0.20680753566301047,-0.20420481584989847,UNCHANGED,6,11,0.41101235151290894,0.10281562805175781,0.002602719813112001,0.20680753566301047
H0,H0 vs Dense,S001,S001-Q049,de592e81-e050-536b-8909-32866c85f6c2,S001-Q043,11,9,2,0.6024776697158813,0.33494289982608627,-0.2675347698897951,UNCHANGED,11,9,0.6024776697158813,6.745595932006836,0.06740812993629114,0.33494289982608627
H0,H0 vs Dense,S002,S002-Q007,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,3,3,0,0.37535619735717773,0.18919186825344225,-0.18616432910373548,UNCHANGED,3,3,0.37535619735717773,0.40605396032333374,0.003027539149706797,0.18919186825344225
H0,H0 vs Dense,S002,S002-Q011,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,7,7,0,0.35073208808898926,0.17901464354905974,-0.17171744453992951,UNCHANGED,7,7,0.35073208808898926,0.1741185039281845,0.007297199009130252,0.17901464354905974
H0,H0 vs Dense,S002,S002-Q011,03c3981b-3b09-56ca-a545-043c8ff0d240,S002-Q007,5,5,0,0.3698793947696686,0.19051490321609826,-0.17936449155357032,UNCHANGED,5,5,0.3698793947696686,1.0298683643341064,0.011150411662527938,0.19051490321609826
H0,H0 vs Dense,S002,S002-Q013,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,9,9,0,0.3458166718482971,0.17424515572068533,-0.1715715161276118,UNCHANGED,9,9,0.3458166718482971,0.15672525763511658,0.002673639593073539,0.17424515572068533
H0,H0 vs Dense,S002,S002-Q013,a6c0000c-f234-59a1-b6e5-1283680d9b77,S002-Q006,5,6,-1,0.3781711459159851,0.19073135866968963,-0.18743978724629548,DEMOTED,5,6,0.3781711459159851,0.5738136172294617,0.0032915714233941276,0.19073135866968963
H0,H0 vs Dense,S002,S002-Q014,37d568b0-90c6-5481-b7d9-e0101fd95e52,S002-Q008,6,6,0,0.47782114148139954,0.2405984264337172,-0.23722271504768233,UNCHANGED,6,6,0.47782114148139954,0.6244644522666931,0.0033757113860348694,0.2405984264337172
H0,H0 vs Dense,S002,S002-Q021,691ce2a8-c4c3-51f3-8cb7-32f42cdee99e,S002-Q015,15,14,1,0.6479976177215576,0.32652346140161,-0.32147415631994763,UNCHANGED,15,14,0.6479976177215576,1.4331148862838745,0.005049305081662321,0.32652346140161
H0,H0 vs Dense,S002,S002-Q022,4d8b4bb3-4a1f-538c-af07-cc0ce19ea796,S002-Q012,11,12,-1,0.7154013514518738,0.3599819652868711,-0.3554193861650027,UNCHANGED,11,12,0.7154013514518738,1.2294116020202637,0.004562579121868372,0.3599819652868711
H0,H0 vs Dense,S002,S002-Q022,b304ab57-b911-5070-88ba-fca4f39a37e8,S002-Q018,7,6,1,0.7325950860977173,0.37598478988308537,-0.3566102962146319,UNCHANGED,7,6,0.7325950860977173,4.151533603668213,0.019374493668453424,0.37598478988308537
H0,H0 vs Dense,S002,S002-Q026,00ce1b35-d357-53e0-a42e-a8f97d4a07f0,S002-Q014,8,10,-2,0.6824973225593567,0.3497230595069886,-0.33277426305236807,UNCHANGED,8,10,0.6824973225593567,3.8790712356567383,0.016948796454620593,0.3497230595069886
H0,H0 vs Dense,S002,S002-Q026,e64218f2-62ce-555a-ba53-f3fd1214e0f7,S002-Q019,10,6,4,0.6791412234306335,0.35846376278338266,-0.3206774606472509,UNCHANGED,10,6,0.6791412234306335,5.525420188903809,0.03778630213613181,0.35846376278338266
H0,H0 vs Dense,S002,S002-Q028,42756865-0f8f-5dcc-a050-6ecec5b828ce,S002-Q022,2,9,-7,0.7513960599899292,0.38358683792339016,-0.36780922206653904,DEMOTED,2,9,0.7513960599899292,3.73348069190979,0.015777615856851147,0.38358683792339016
H0,H0 vs Dense,S002,S002-Q033,79860bb6-6010-5ca0-ac81-f4327e2bff44,S002-Q023,2,1,1,0.7454124689102173,0.7928298343339897,0.047417365423772395,UNCHANGED,2,1,0.7454124689102173,15.320137023925781,0.840247199757762,0.7928298343339897
H0,H0 vs Dense,S002,S002-Q033,893b3ae9-1f94-5436-8c6d-54e200693867,S002-Q029,11,4,7,0.7210525870323181,0.4363708483624412,-0.2846817386698769,PROMOTED,11,4,0.7210525870323181,8.557171821594238,0.15168910969256438,0.4363708483624412
H0,H0 vs Dense,S002,S002-Q035,893b3ae9-1f94-5436-8c6d-54e200693867,S002-Q029,11,6,5,0.7214906811714172,0.40481408545713804,-0.3166765957142792,UNCHANGED,11,6,0.7214906811714172,7.326817512512207,0.0881374897428588,0.40481408545713804
H0,H0 vs Dense,S002,S002-Q039,0dd982c7-f7b2-5ac0-8c16-56d44bbe4330,S002-Q027,13,21,-8,0.6772738099098206,0.3404913881390835,-0.3367824217707371,UNCHANGED,13,21,0.6772738099098206,0.8134276270866394,0.0037089663683464304,0.3404913881390835
H0,H0 vs Dense,S002,S002-Q039,78a623b8-bff9-5b45-b990-24d74e714f9b,S002-Q032,2,8,-6,0.7298577427864075,0.3736242407044219,-0.35623350208198556,DEMOTED,2,8,0.7298577427864075,3.931452512741089,0.017390738622436324,0.3736242407044219
H0,H0 vs Dense,S002,S002-Q042,5c22c135-b86e-56a3-83eb-7484d1183dca,S002-Q036,12,10,2,0.6979053020477295,0.3692431215087409,-0.3286621805389886,UNCHANGED,12,10,0.6979053020477295,5.673941135406494,0.040580940969752295,0.3692431215087409
H0,H0 vs Dense,S002,S002-Q044,57b8caa3-b46e-50f2-a65a-bb244543b1c3,S002-Q034,39,35,4,0.6558573842048645,0.3390087234713102,-0.3168486607335543,UNCHANGED,39,35,0.6558573842048645,4.425891399383545,0.02216006273775595,0.3390087234713102
H0,H0 vs Dense,S002,S002-Q044,647fce0c-6320-5a98-819d-50dff3300582,S002-Q040,4,10,-6,0.7309869527816772,0.3715890612099014,-0.3593978915717759,DEMOTED,4,10,0.7309869527816772,3.2104454040527344,0.012191169638125516,0.3715890612099014
H0,H0 vs Dense,S002,S002-Q049,57600f18-283a-5f61-bf9e-7a48d4f8d3c5,S002-Q043,4,4,0,0.67808997631073,0.7083700902549415,0.030280113944211484,UNCHANGED,4,4,0.67808997631073,14.077929496765137,0.7386502041991531,0.7083700902549415
H0,H0 vs Dense,S002,S002-Q052,647fce0c-6320-5a98-819d-50dff3300582,S002-Q040,1,1,0,0.6072694063186646,0.5531112559338394,-0.05415815038482519,UNCHANGED,1,1,0.6072694063186646,11.99162483215332,0.49895310554901406,0.5531112559338394
H0,H0 vs Dense,S002,S002-Q052,d728a292-3080-5624-89ff-d8e05d09e8ca,S002-Q045,15,20,-5,0.4818408787250519,0.24423228246361978,-0.2376085962614321,UNCHANGED,15,20,0.4818408787250519,1.9790849685668945,0.006623686202187665,0.24423228246361978
H0,H0 vs Dense,S002,S002-Q055,d728a292-3080-5624-89ff-d8e05d09e8ca,S002-Q045,16,1,15,0.492669016122818,0.41158440198574353,-0.08108461413707446,PROMOTED,16,1,0.492669016122818,10.588149070739746,0.3304997878486691,0.41158440198574353
H0,H0 vs Dense,S002,S002-Q055,2e583969-bc65-5074-a7fe-0424438cd092,S002-Q051,12,12,0,0.5007023811340332,0.26660882841742434,-0.23409355271660887,UNCHANGED,12,12,0.5007023811340332,5.214020729064941,0.032515275700815485,0.26660882841742434
H0,H0 vs Dense,S002,S002-Q056,e40ec65e-2907-515a-b1dd-3bec39109106,S002-Q050,36,35,1,0.33248934149742126,0.17412760338772096,-0.1583617381097003,UNCHANGED,36,35,0.33248934149742126,3.731966733932495,0.015765865278020645,0.17412760338772096
H0,H0 vs Dense,S002,S002-Q063,3549589e-05fe-5631-9385-5379f8dd4396,S002-Q057,11,17,-6,0.6479683518409729,0.3308981019343965,-0.3170702499065764,UNCHANGED,11,17,0.6479683518409729,3.465707778930664,0.013827852027820156,0.3308981019343965
H0,H0 vs Dense,S002,S002-Q065,a2f4bee5-f836-545e-8197-d79f3f2d284c,S002-Q053,1,7,-6,0.650933027267456,0.3299203812858977,-0.3210126459815584,DEMOTED,1,7,0.650933027267456,2.5762248039245605,0.008907735304339321,0.3299203812858977
H0,H0 vs Dense,S002,S002-Q065,7cf76f8c-3ecc-5aa0-8867-9b1934ccb270,S002-Q058,6,5,1,0.6310549378395081,0.33192999672403534,-0.2991249411154727,PROMOTED,6,5,0.6310549378395081,5.232365131378174,0.03280505560856267,0.33192999672403534
H0,H0 vs Dense,S002,S002-Q066,166328f1-a89c-5b18-8a53-02ac909e0849,S002-Q056,1,6,-5,0.6374316811561584,0.5112021127122088,-0.1262295684439496,DEMOTED,1,6,0.6374316811561584,11.063010215759277,0.3849725442682591,0.5112021127122088
H0,H0 vs Dense,S002,S002-Q066,323c7c4f-02b6-5801-9c72-3623423fb3c6,S002-Q062,11,4,7,0.5550165176391602,0.6329622941265307,0.07794577648737055,PROMOTED,11,4,0.5550165176391602,13.799596786499023,0.7109080706139013,0.6329622941265307
H0,H0 vs Dense,S002,S002-Q070,95dce1c8-76eb-5c10-b622-b77e03c00526,S002-Q064,11,4,7,0.4726150631904602,0.2618259057976148,-0.21078915739284543,PROMOTED,11,4,0.4726150631904602,6.154351711273193,0.05103674840476936,0.2618259057976148
H0,H0 vs Dense,S003,S003-Q007,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,2,3,-1,0.3476473391056061,0.17548149571920205,-0.17216584338640403,UNCHANGED,2,3,0.3476473391056061,0.5884405374526978,0.00331565233279799,0.17548149571920205
H0,H0 vs Dense,S003,S003-Q011,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,4,4,0,0.4727919101715088,0.24664105783325396,-0.22615085233825483,UNCHANGED,4,4,0.4727919101715088,4.26578950881958,0.02049020549499915,0.24664105783325396
H0,H0 vs Dense,S003,S003-Q011,aacabfac-ac8e-5c81-8f0b-9adc0eeeef33,S003-Q007,1,1,0,0.494103342294693,0.25776063059947407,-0.23634271169521892,UNCHANGED,1,1,0.494103342294693,4.356246471405029,0.021417918904255113,0.25776063059947407
H0,H0 vs Dense,S003,S003-Q013,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,6,2,4,0.49814823269844055,0.2976199826545882,-0.20052825004385233,PROMOTED,6,2,0.49814823269844055,7.540070533752441,0.09709173261073585,0.2976199826545882
H0,H0 vs Dense,S003,S003-Q013,914dcda3-55d6-504a-9159-f6f54938f31f,S003-Q006,5,5,0,0.5069320797920227,0.2649639559330731,-0.2419681238589496,UNCHANGED,5,5,0.5069320797920227,4.501644134521484,0.0229958320741235,0.2649639559330731
H0,H0 vs Dense,S003,S003-Q014,22322d48-4d17-5d2e-8760-ab1acaeb9f0a,S003-Q008,1,1,0,0.6167545914649963,0.4250148178387431,-0.19173977362625322,UNCHANGED,1,1,0.6167545914649963,9.620180130004883,0.2332750442124899,0.4250148178387431
H0,H0 vs Dense,S003,S003-Q021,1b59ffe6-5fba-511e-b39a-6529e998d6ca,S003-Q015,7,10,-3,0.6651113629341125,0.33636489066651615,-0.3287464722675964,UNCHANGED,7,10,0.6651113629341125,2.2609221935272217,0.007618418398919766,0.33636489066651615
H0,H0 vs Dense,S003,S003-Q022,4b59a558-4eb8-5c30-a40b-2e1cc9df12a2,S003-Q012,1,3,-2,0.6499589681625366,0.34297162901317374,-0.3069873391493629,UNCHANGED,1,3,0.6499589681625366,5.423949718475342,0.03598428986381091,0.34297162901317374
H0,H0 vs Dense,S003,S003-Q022,bd6d22da-10ea-5784-b308-d3f5d1f57469,S003-Q018,3,5,-2,0.6119412183761597,0.32809894918850246,-0.2838422691876572,UNCHANGED,3,5,0.6119412183761597,5.855033874511719,0.044256680000845317,0.32809894918850246
H0,H0 vs Dense,S003,S003-Q026,cee54426-e3ab-5ae2-aaab-81de729e05f3,S003-Q014,15,19,-4,0.5855612754821777,0.30225825055047945,-0.2833030249316983,UNCHANGED,15,19,0.5855612754821777,4.1069231033325195,0.018955225618781196,0.30225825055047945
H0,H0 vs Dense,S003,S003-Q026,bd0dc9f1-4c0c-5c9f-b9c0-5a7b5051b7f2,S003-Q019,7,2,5,0.6343926787376404,0.45003575581581,-0.18435692292183037,PROMOTED,7,2,0.6343926787376404,9.966683387756348,0.26567883289397964,0.45003575581581
H0,H0 vs Dense,S003,S003-Q028,9ca9c523-e56d-58df-aa6b-c54a80e3dbb5,S003-Q022,6,7,-1,0.5726884603500366,0.31435984958197344,-0.2583286107680632,UNCHANGED,6,7,0.5726884603500366,6.351632595062256,0.05603123881391022,0.31435984958197344
H0,H0 vs Dense,S003,S003-Q033,c96d749e-7c02-5289-ab48-fd03586dd5b1,S003-Q023,12,13,-1,0.5834260582923889,0.3071749480032886,-0.2762511102891003,UNCHANGED,12,13,0.5834260582923889,5.110368251800537,0.03092383771418828,0.3071749480032886
H0,H0 vs Dense,S003,S003-Q033,1b535a84-9ae4-50ee-bbda-1d7ba186183e,S003-Q029,21,15,6,0.54683518409729,0.2992439043992778,-0.24759127969801226,UNCHANGED,21,15,0.54683518409729,6.179640293121338,0.05165262470126556,0.2992439043992778
H0,H0 vs Dense,S003,S003-Q035,1b535a84-9ae4-50ee-bbda-1d7ba186183e,S003-Q029,17,20,-3,0.5243327021598816,0.2652940211163924,-0.2590386810434892,UNCHANGED,17,20,0.5243327021598816,1.863910436630249,0.0062553400729032345,0.2652940211163924
H0,H0 vs Dense,S003,S003-Q039,4ed05884-3478-5a91-a63f-3067fd41956d,S003-Q027,2,8,-6,0.6725355982780457,0.3403797701042034,-0.33215582817384226,DEMOTED,2,8,0.6725355982780457,2.415104627609253,0.008223941930361106,0.3403797701042034
H0,H0 vs Dense,S003,S003-Q039,c94687e6-820c-5c03-a774-40d03e0f70be,S003-Q032,29,29,0,0.5633748769760132,0.28917812174251584,-0.27419675523349735,UNCHANGED,29,29,0.5633748769760132,3.62829327583313,0.014981366509018487,0.28917812174251584
H0,H0 vs Dense,S003,S003-Q042,82bf5c46-13d0-5fb7-9826-308047a68fc7,S003-Q036,6,12,-6,0.5420230627059937,0.2756718772406463,-0.26635118546534736,UNCHANGED,6,12,0.5420230627059937,2.667691946029663,0.009320691775298963,0.2756718772406463
H0,H0 vs Dense,S003,S003-Q044,ae9f0678-a87f-5377-8edd-5fbd8ff4b4fa,S003-Q034,33,34,-1,0.4599473774433136,0.23946052119266883,-0.22048685625064476,UNCHANGED,33,34,0.4599473774433136,4.10890531539917,0.01897366494202408,0.23946052119266883
H0,H0 vs Dense,S003,S003-Q044,bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c,S003-Q040,15,1,14,0.5070860385894775,0.3530142482022707,-0.15407179038720686,PROMOTED,15,1,0.5070860385894775,9.214165687561035,0.19894245781506387,0.3530142482022707
H0,H0 vs Dense,S003,S003-Q049,2316a391-e779-530b-ac2f-055182347d32,S003-Q043,22,14,8,0.5056788325309753,0.2877989548426783,-0.21787987768829703,UNCHANGED,22,14,0.5056788325309753,6.82413387298584,0.06991907715438127,0.2877989548426783
H0,H0 vs Dense,S003,S003-Q052,bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c,S003-Q040,10,12,-2,0.5986801981925964,0.3873627594532547,-0.21131743873934172,UNCHANGED,10,12,0.5986801981925964,8.913251876831055,0.17604532071391302,0.3873627594532547
H0,H0 vs Dense,S003,S003-Q052,cc3a667e-ea49-5490-bb5c-5a4d9db97e6f,S003-Q045,15,11,4,0.592033326625824,0.4319122587963691,-0.1601210678294549,UNCHANGED,15,11,0.592033326625824,10.028892517089844,0.27179119096691423,0.4319122587963691
H0,H0 vs Dense,S003,S003-Q055,cc3a667e-ea49-5490-bb5c-5a4d9db97e6f,S003-Q045,41,45,-4,0.4069212079048157,0.20595021043534945,-0.20097099746946623,UNCHANGED,41,45,0.4069212079048157,1.4050164222717285,0.004979212965883192,0.20595021043534945
H0,H0 vs Dense,S003,S003-Q055,9409734e-8235-5011-8c1a-60ed15ad9024,S003-Q051,11,21,-10,0.4789794087409973,0.24290198757811626,-0.23607742116288105,UNCHANGED,11,21,0.4789794087409973,2.03924298286438,0.006824566415235193,0.24290198757811626
H0,H0 vs Dense,S003,S003-Q056,59d896c1-0734-53cf-821a-5728dd5fe548,S003-Q050,3,13,-10,0.5221919417381287,0.2712925335846402,-0.25089940815348843,DEMOTED,3,13,0.5221919417381287,4.2560930252075195,0.02039312543115179,0.2712925335846402
H0,H0 vs Dense,S003,S003-Q063,83b39f0f-a1ea-5e54-98aa-d61af4aee5f9,S003-Q057,19,13,6,0.4438685476779938,0.24941151114997384,-0.19445703652801993,UNCHANGED,19,13,0.4438685476779938,6.310544013977051,0.0549544746219539,0.24941151114997384
H0,H0 vs Dense,S003,S003-Q065,92bbf5d0-665d-52fa-92dd-d73231b6a2f4,S003-Q053,18,17,1,0.4406288266181946,0.2313688127320296,-0.20926001388616497,UNCHANGED,18,17,0.4406288266181946,4.421154499053955,0.02210879884586465,0.2313688127320296
H0,H0 vs Dense,S003,S003-Q065,ad470150-cd72-5d94-9d96-467573c4b92b,S003-Q058,14,9,5,0.4429168999195099,0.24758338106433334,-0.19533351885517655,UNCHANGED,14,9,0.4429168999195099,6.203892707824707,0.05224986220915678,0.24758338106433334
H0,H0 vs Dense,S003,S003-Q066,3e1cec0a-77e2-5463-865e-1f49b78e966c,S003-Q056,1,6,-5,0.48954805731773376,0.31291166758761346,-0.1766363897301203,DEMOTED,1,6,0.48954805731773376,8.306845664978027,0.1362752778574932,0.31291166758761346
H0,H0 vs Dense,S003,S003-Q066,e6b075df-0710-53c0-a850-a6bc715553b6,S003-Q062,18,25,-7,0.4069208800792694,0.21256651684288955,-0.19435436323637986,UNCHANGED,18,25,0.4069208800792694,4.02542781829834,0.018212153606509688,0.21256651684288955
H0,H0 vs Dense,S003,S003-Q070,6e93a473-ae4a-524c-aee1-43aafd7f6bb0,S003-Q064,4,11,-7,0.4601253867149353,0.24681550688525963,-0.21330987982967567,DEMOTED,4,11,0.4601253867149353,5.276075839996338,0.03350562705558398,0.24681550688525963
H0,H0 vs Dense,S003,S003-Q077,21f9ae05-f6a0-5cc5-af10-142d014dcf11,S003-Q067,16,23,-7,0.6070505380630493,0.31563885764919847,-0.29141168041385085,UNCHANGED,16,23,0.6070505380630493,4.608490467071533,0.02422717723534764,0.31563885764919847
H0,H0 vs Dense,S003,S003-Q077,96af7f08-1678-5164-9e1e-935a577a7d1b,S003-Q071,54,45,9,0.5469114780426025,0.2954223183249637,-0.25148915971763885,UNCHANGED,54,45,0.5469114780426025,5.8396830558776855,0.04393315860732484,0.2954223183249637
H0,H0 vs Dense,S003,S003-Q077,2fdaac5c-103c-5100-8480-7d15511a3658,S003-Q073,24,28,-4,0.5937093496322632,0.30911475869670946,-0.2845945909355537,UNCHANGED,24,28,0.5937093496322632,4.6331329345703125,0.024520167761155686,0.30911475869670946
H0,H0 vs Dense,S003,S003-Q078,70584af0-da6d-5ee7-9e7c-ad3f962ef545,S003-Q066,5,8,-3,0.5364928841590881,0.2799889470961406,-0.25650393706294755,DEMOTED,5,8,0.5364928841590881,4.544744491577148,0.02348501003319302,0.2799889470961406
H0,H0 vs Dense,S003,S003-Q078,96af7f08-1678-5164-9e1e-935a577a7d1b,S003-Q071,47,34,13,0.482970654964447,0.25677907386139426,-0.22619158110305276,UNCHANGED,47,34,0.482970654964447,5.087801933288574,0.030587492758341512,0.25677907386139426
H0,H0 vs Dense,S003,S003-Q084,15caa01c-5d97-5da1-93ca-bbb8a8cf5f22,S003-Q078,30,52,-22,0.6417790651321411,0.32088953256607056,-0.32088953256607056,UNCHANGED,30,52,0.6417790651321411,1.9404268264770508,0.0,0.32088953256607056
H0,H0 vs Dense,S003,S003-Q088,15caa01c-5d97-5da1-93ca-bbb8a8cf5f22,S003-Q078,12,14,-2,0.6042231917381287,0.4149974248580093,-0.18922576688011938,UNCHANGED,12,14,0.6042231917381287,9.535314559936523,0.2257716579778899,0.4149974248580093
H0,H0 vs Dense,S003,S003-Q088,dc75d4a6-dbec-512b-bed7-4048466382c6,S003-Q084,48,44,4,0.5702548027038574,0.29983094141147026,-0.27042386129238716,UNCHANGED,48,44,0.5702548027038574,5.006656646728516,0.029407080119083138,0.29983094141147026
H0,H0 vs Dense,S003,S003-Q091,68d070f4-4242-579d-b5a8-83f3dc6283b3,S003-Q079,22,32,-10,0.5237754583358765,0.2692022019856842,-0.2545732563501923,UNCHANGED,22,32,0.5237754583358765,3.579967737197876,0.014628945635491913,0.2692022019856842
H0,H0 vs Dense,S003,S003-Q091,dc75d4a6-dbec-512b-bed7-4048466382c6,S003-Q084,3,6,-3,0.5488320589065552,0.3963812840533233,-0.15245077485323189,DEMOTED,3,6,0.5488320589065552,9.737500190734863,0.2439305092000914,0.3963812840533233
H0,H0 vs Dense,S003,S003-Q091,ff75fe78-c1af-5b7a-a243-9648b6132a06,S003-Q085,23,14,9,0.5221955180168152,0.3014642547805348,-0.2207312632362804,UNCHANGED,23,14,0.5221955180168152,7.135141372680664,0.08073299154425441,0.3014642547805348
H0,H0 vs Dense,S004,S004-Q007,9de4c8e1-1f2d-56af-8e3f-eaed84f7c238,S004-Q001,3,3,0,0.35100364685058594,0.17704318793707127,-0.17396045891351467,UNCHANGED,3,3,0.35100364685058594,0.4422949254512787,0.0030827290235565926,0.17704318793707127
H0,H0 vs Dense,S004,S004-Q011,9de4c8e1-1f2d-56af-8e3f-eaed84f7c238,S004-Q001,7,7,0,0.5022115111351013,0.253342610686077,-0.24886890044902432,UNCHANGED,7,7,0.5022115111351013,1.189893126487732,0.0044737102370526315,0.253342610686077
H0,H0 vs Dense,S004,S004-Q011,75c0a8f8-fa8f-5fdb-89db-f1e0f0f43bb4,S004-Q007,1,1,0,0.6210789084434509,0.32785514956813555,-0.2932237588753154,UNCHANGED,1,1,0.6210789084434509,5.34450101852417,0.03463139069282022,0.32785514956813555
H0,H0 vs Dense,S004,S004-Q013,9de4c8e1-1f2d-56af-8e3f-eaed84f7c238,S004-Q001,8,8,0,0.593585193157196,0.30051309917128494,-0.2930720939859111,UNCHANGED,8,8,0.593585193157196,2.2134389877319336,0.007441005185373789,0.30051309917128494
